id,book,par_num,100,class,title,text
NULL,p209,114,100,gatha3,,
NULL,p209,115,100,gathalast,,
NULL,p209,116,100,indent,,
NULL,p209,117,100,gatha1,,
NULL,p209,118,100,gathalast,,
NULL,p209,119,100,bodytext,,
NULL,p209,120,100,gatha1,,
NULL,p209,121,100,gathalast,,
NULL,p209,122,100,bodytext,,
NULL,p209,123,100,bodytext,,
NULL,p209,124,100,bodytext,,
NULL,p209,125,100,bodytext,,
NULL,p209,126,100,bodytext,,
NULL,p209,127,100,bodytext,,
NULL,p209,128,100,bodytext,,
NULL,p209,129,100,bodytext,,
NULL,p209,130,100,bodytext,,
NULL,p209,131,100,bodytext,,
NULL,p209,132,100,bodytext,,
NULL,p209,133,100,centered,,
NULL,p209,134,4,subhead,Bāhiranidānakathāvaṇṇanā,
NULL,p209,135,100,bodytext,,
NULL,p209,136,4,subhead,Paṭhamamahāsaṅgītikathāvaṇṇanā,
NULL,p209,137,100,bodytext,,
NULL,p209,138,100,gatha1,,
NULL,p209,139,100,gathalast,,
NULL,p209,140,100,bodytext,,
NULL,p209,141,100,bodytext,,
NULL,p209,142,100,bodytext,,
NULL,p209,143,100,gatha1,,
NULL,p209,144,100,gathalast,,
NULL,p209,145,100,gatha1,,
NULL,p209,146,100,gathalast,,
NULL,p209,147,100,bodytext,,
NULL,p209,148,100,centered,,
NULL,p209,149,4,subhead,Dutiyasaṅgītikathāvaṇṇanā,
NULL,p209,150,100,bodytext,,
NULL,p209,151,100,centered,,
NULL,p209,152,4,subhead,Tatiyasaṅgītikathāvaṇṇanā,
NULL,p209,153,100,bodytext,,
NULL,p209,154,100,gatha1,,
NULL,p209,155,100,gathalast,,
NULL,p209,156,100,bodytext,,
NULL,p209,157,100,gatha1,,
NULL,p209,158,100,gathalast,,
NULL,p209,159,100,bodytext,,
NULL,p209,160,100,centered,,
NULL,p209,161,100,bodytext,,
NULL,p209,162,100,bodytext,,
NULL,p209,163,100,gatha1,,
NULL,p209,164,100,gathalast,,
NULL,p209,165,100,centered,,
NULL,p209,166,2,chapter,Pārājikavaṇṇanā,巴拉基卡详解
NULL,p209,167,4,subhead,Verañjakaṇḍo,
NULL,p209,168,4,subhead,Verañjakaṇḍavaṇṇanā,
NULL,p209,169,100,bodytext,,
NULL,p209,170,100,bodytext,,
NULL,p209,171,100,gatha1,,
NULL,p209,172,100,gathalast,,
NULL,p209,173,100,unindented,,
NULL,p209,174,100,bodytext,,
NULL,p209,175,100,bodytext,,
NULL,p209,176,100,bodytext,,
NULL,p209,177,100,bodytext,,
NULL,p209,178,100,bodytext,,
NULL,p209,179,100,bodytext,,
NULL,p209,180,100,bodytext,,
NULL,p209,181,100,bodytext,,
NULL,p209,182,100,bodytext,,
NULL,p209,183,100,bodytext,,
NULL,p209,184,100,bodytext,,
NULL,p209,185,100,bodytext,,
NULL,p209,186,100,bodytext,,
NULL,p209,187,100,bodytext,,
NULL,p209,188,100,bodytext,,
NULL,p209,189,100,bodytext,,
NULL,p209,190,100,gatha1,,
NULL,p209,191,100,gatha2,,
NULL,p209,192,100,gatha3,,
NULL,p209,193,100,gathalast,,
NULL,p209,194,100,unindented,,
NULL,p209,195,100,bodytext,,
NULL,p209,196,100,bodytext,,
NULL,p209,197,100,bodytext,,
NULL,p209,198,100,centered,,
NULL,p209,199,4,subhead,Pubbenivāsakathāvaṇṇanā,
NULL,p209,200,100,bodytext,,
NULL,p209,201,100,gatha1,,
NULL,p209,202,100,gathalast,,
NULL,p209,203,100,bodytext,,
NULL,p209,204,100,bodytext,,
NULL,p209,205,100,bodytext,,
NULL,p209,206,100,bodytext,,
NULL,p209,207,100,gatha1,,
NULL,p209,208,100,gathalast,,
NULL,p209,209,100,unindented,,
NULL,p209,210,100,bodytext,,
NULL,p209,211,100,centered,,
NULL,p209,212,4,subhead,Dibbacakkhuñāṇakathāvaṇṇanā,
NULL,p209,213,100,bodytext,,
NULL,p209,214,100,bodytext,,
NULL,p209,215,100,centered,,
NULL,p209,216,4,subhead,Āsavakkhayañāṇakathāvaṇṇanā,
NULL,p209,217,100,bodytext,,
NULL,p209,218,100,centered,,
NULL,p209,219,4,subhead,Upāsakattapaṭivedanākathāvaṇṇanā,
NULL,p209,220,100,bodytext,,
NULL,p209,221,100,bodytext,,
NULL,p209,222,100,bodytext,,
NULL,p209,223,100,bodytext,,
NULL,p209,224,100,gatha1,,
NULL,p209,225,100,gathalast,,
NULL,p209,226,100,unindented,,
NULL,p209,227,100,bodytext,,
NULL,p209,228,100,bodytext,,
NULL,p209,229,100,bodytext,,
NULL,p209,230,100,gatha1,,
NULL,p209,231,100,gatha2,,
NULL,p209,232,100,gatha3,,
NULL,p209,233,100,gathalast,,
NULL,p209,234,100,gatha1,,
NULL,p209,235,100,gatha2,,
NULL,p209,236,100,gatha3,,
NULL,p209,237,100,gathalast,,
NULL,p209,238,100,gatha1,,
NULL,p209,239,100,gatha2,,
NULL,p209,240,100,gatha3,,
NULL,p209,241,100,gathalast,,
NULL,p209,242,100,gatha1,,
NULL,p209,243,100,gatha2,,
NULL,p209,244,100,gatha3,,
NULL,p209,245,100,gathalast,,
NULL,p209,246,100,gatha1,,
NULL,p209,247,100,gatha2,,
NULL,p209,248,100,gatha3,,
NULL,p209,249,100,gathalast,,
NULL,p209,250,100,bodytext,,
NULL,p209,251,100,gatha1,,
NULL,p209,252,100,gathalast,,
NULL,p209,253,100,bodytext,,
NULL,p209,254,100,bodytext,,
NULL,p209,255,100,bodytext,,
NULL,p209,256,100,bodytext,,
NULL,p209,257,100,gatha1,,
NULL,p209,258,100,gatha2,,
NULL,p209,259,100,gatha3,,
NULL,p209,260,100,gathalast,,
NULL,p209,261,100,bodytext,,
NULL,p209,262,100,gatha1,,
NULL,p209,263,100,gatha2,,
NULL,p209,264,100,gatha3,,
NULL,p209,265,100,gathalast,,
NULL,p209,266,100,bodytext,,
NULL,p209,267,100,gatha1,,
NULL,p209,268,100,gatha2,,
NULL,p209,269,100,gatha3,,
NULL,p209,270,100,gatha2,,
NULL,p209,271,100,gatha3,,
NULL,p209,272,100,gathalast,,
NULL,p209,273,100,bodytext,,
NULL,p209,274,100,gatha1,,
NULL,p209,275,100,gathalast,,
NULL,p209,276,100,bodytext,,
NULL,p209,277,100,bodytext,,
NULL,p209,278,100,centered,,
NULL,p209,279,100,centered,,
NULL,p209,280,4,subhead,1. Pārājikakaṇḍo,
NULL,p209,281,3,title,1. Paṭhamapārājikaṃ,第一巴拉基卡
NULL,p209,282,4,subhead,Sudinnabhāṇavāravaṇṇanā,
NULL,p209,283,100,gatha1,,
NULL,p209,284,100,gathalast,,
NULL,p209,285,100,bodytext,,
NULL,p209,286,100,gatha1,,
NULL,p209,287,100,gathalast,,
NULL,p209,288,100,gatha1,,
NULL,p209,289,100,gathalast,,
NULL,p209,290,100,gatha1,,
NULL,p209,291,100,gathalast,,
NULL,p209,292,100,gatha1,,
NULL,p209,293,100,gathalast,,
NULL,p209,294,100,gatha1,,
NULL,p209,295,100,gathalast,,
NULL,p209,296,100,gatha1,,
NULL,p209,297,100,gathalast,,
NULL,p209,298,100,bodytext,,
NULL,p209,299,100,gatha1,,
NULL,p209,300,100,gathalast,,
NULL,p209,301,100,bodytext,,
NULL,p209,302,100,bodytext,,
NULL,p209,303,100,bodytext,,
NULL,p209,304,100,gatha1,,
NULL,p209,305,100,gathalast,,
NULL,p209,306,100,bodytext,,
NULL,p209,307,100,bodytext,,
NULL,p209,308,100,bodytext,,
NULL,p209,309,100,gatha1,,
NULL,p209,310,100,gathalast,,
NULL,p209,311,100,gatha1,,
NULL,p209,312,100,gathalast,,
NULL,p209,313,100,gatha1,,
NULL,p209,314,100,gathalast,,
NULL,p209,315,100,gatha1,,
NULL,p209,316,100,gathalast,,
NULL,p209,317,100,gatha1,,
NULL,p209,318,100,gathalast,,
NULL,p209,319,100,bodytext,,
NULL,p209,320,100,gatha1,,
NULL,p209,321,100,gatha2,,
NULL,p209,322,100,gathalast,,
NULL,p209,323,100,bodytext,,
NULL,p209,324,100,gatha1,,
NULL,p209,325,100,gathalast,,
NULL,p209,326,100,bodytext,,
NULL,p209,327,100,bodytext,,
NULL,p209,328,100,bodytext,,
NULL,p209,329,100,bodytext,,
NULL,p209,330,100,centered,,
NULL,p209,331,100,centered,,
NULL,p209,332,4,subhead,Makkaṭīvatthukathāvaṇṇanā,
NULL,p209,333,100,bodytext,,
NULL,p209,334,100,bodytext,,
NULL,p209,335,100,bodytext,,
NULL,p209,336,100,centered,,
NULL,p209,337,4,subhead,Vajjiputtakavatthuvaṇṇanā,
NULL,p209,338,100,bodytext,,
NULL,p209,339,100,gatha1,,
NULL,p209,340,100,gathalast,,
NULL,p209,341,100,unindented,,
NULL,p209,342,100,bodytext,,
NULL,p209,343,100,gatha1,,
NULL,p209,344,100,gathalast,,
NULL,p209,345,100,unindented,,
NULL,p209,346,100,bodytext,,
NULL,p209,347,100,bodytext,,
NULL,p209,348,100,bodytext,,
NULL,p209,349,100,bodytext,,
NULL,p209,350,100,bodytext,,
NULL,p209,351,100,bodytext,,
NULL,p209,352,100,bodytext,,
NULL,p209,353,100,bodytext,,
NULL,p209,354,100,bodytext,,
NULL,p209,355,100,centered,,
NULL,p209,356,4,subhead,Catubbidhavinayakathāvaṇṇanā,
NULL,p209,357,100,bodytext,,
NULL,p209,358,100,bodytext,,
NULL,p209,359,100,bodytext,,
NULL,p209,360,100,bodytext,,
NULL,p209,361,100,bodytext,,
NULL,p209,362,100,gatha1,,
NULL,p209,363,100,gathalast,,
NULL,p209,364,100,unindented,,
NULL,p209,365,100,bodytext,,
NULL,p209,366,100,bodytext,,
NULL,p209,367,100,bodytext,,
NULL,p209,368,100,centered,,
NULL,p209,369,4,subhead,Padabhājanīyavaṇṇanā,
NULL,p209,370,100,bodytext,,
NULL,p209,371,100,bodytext,,
NULL,p209,372,100,bodytext,,
NULL,p209,373,100,bodytext,,
NULL,p209,374,100,bodytext,,
NULL,p209,375,100,bodytext,,
NULL,p209,376,100,bodytext,,
NULL,p209,377,100,bodytext,,
NULL,p209,378,100,bodytext,,
NULL,p209,379,100,bodytext,,
NULL,p209,380,4,subhead,Sājīvapadabhājanīyavaṇṇanā,
NULL,p209,381,100,bodytext,,
NULL,p209,382,100,bodytext,,
NULL,p209,383,100,bodytext,,
NULL,p209,384,4,subhead,Sikkhāpaccakkhānakathāvaṇṇanā,
NULL,p209,385,100,bodytext,,
NULL,p209,386,100,bodytext,,
NULL,p209,387,100,bodytext,,
NULL,p209,388,100,bodytext,,
NULL,p209,389,100,bodytext,,
NULL,p209,390,100,centered,,
NULL,p209,391,4,subhead,Mūlapaññattikathāvaṇṇanā,
NULL,p209,392,100,bodytext,,
NULL,p209,393,100,bodytext,,
NULL,p209,394,100,gatha1,,
NULL,p209,395,100,gatha2,,
NULL,p209,396,100,gatha3,,
NULL,p209,397,100,gathalast,,
NULL,p209,398,100,unindented,,
NULL,p209,399,4,subhead,Paṭhamacatukkakathāvaṇṇanā,
NULL,p209,400,100,bodytext,,
NULL,p209,401,100,bodytext,,
NULL,p209,402,100,indent,,
NULL,p209,403,100,bodytext,,
NULL,p209,404,100,centered,,
NULL,p209,405,4,subhead,Ekūnasattatidvisatacatukkakathāvaṇṇanā,
NULL,p209,406,100,bodytext,,
NULL,p209,407,100,bodytext,,
NULL,p209,408,100,bodytext,,
NULL,p209,409,100,centered,,
NULL,p209,410,4,subhead,Santhatacatukkabhedakakathāvaṇṇanā,
NULL,p209,411,100,bodytext,,
NULL,p209,412,100,centered,,
NULL,p209,413,100,centered,,
NULL,p209,414,4,subhead,Pakiṇṇakakathāvaṇṇanā,
NULL,p209,415,100,bodytext,,
NULL,p209,416,100,bodytext,,
NULL,p209,417,100,bodytext,,
NULL,p209,418,100,bodytext,,
NULL,p209,419,100,bodytext,,
NULL,p209,420,100,bodytext,,
NULL,p209,421,4,subhead,Vinītavatthuvaṇṇanā,
NULL,p209,422,100,bodytext,,
NULL,p209,423,100,bodytext,,
NULL,p209,424,100,bodytext,,
NULL,p209,425,100,bodytext,,
NULL,p209,426,100,bodytext,,
NULL,p209,427,100,bodytext,,
NULL,p209,428,100,bodytext,,
NULL,p209,429,100,bodytext,,
NULL,p209,430,100,bodytext,,
NULL,p209,431,100,bodytext,,
NULL,p209,432,100,bodytext,,
NULL,p209,433,100,centered,,
NULL,p209,434,3,title,2. Dutiyapārājikaṃ,第二巴拉基卡
NULL,p209,435,4,subhead,Dhaniyavatthuvaṇṇanā,
NULL,p209,436,100,bodytext,,
NULL,p209,437,100,bodytext,,
NULL,p209,438,4,subhead,Pāḷimuttakavinicchayavaṇṇanā,
NULL,p209,439,100,bodytext,,
NULL,p209,440,100,bodytext,,
NULL,p209,441,100,bodytext,,
NULL,p209,442,100,bodytext,,
NULL,p209,443,100,bodytext,,
NULL,p209,444,4,subhead,Padabhājanīyavaṇṇanā,
NULL,p209,445,100,bodytext,,
NULL,p209,446,100,bodytext,,
NULL,p209,447,100,bodytext,,
NULL,p209,448,4,subhead,Pañcavīsatiavahārakathāvaṇṇanā,
NULL,p209,449,100,bodytext,,
NULL,p209,450,4,subhead,Bhūmaṭṭhakathādivaṇṇanā,
NULL,p209,451,100,bodytext,,
NULL,p209,452,100,bodytext,,
NULL,p209,453,100,bodytext,,
NULL,p209,454,100,bodytext,,
NULL,p209,455,100,bodytext,,
NULL,p209,456,100,bodytext,,
NULL,p209,457,100,bodytext,,
NULL,p209,458,100,bodytext,,
NULL,p209,459,100,bodytext,,
NULL,p209,460,100,bodytext,,
NULL,p209,461,100,bodytext,,
NULL,p209,462,100,bodytext,,
NULL,p209,463,100,bodytext,,
NULL,p209,464,100,bodytext,,
NULL,p209,465,100,bodytext,,
NULL,p209,466,100,bodytext,,
NULL,p209,467,100,bodytext,,
NULL,p209,468,100,bodytext,,
NULL,p209,469,100,bodytext,,
NULL,p209,470,100,bodytext,,
NULL,p209,471,100,bodytext,,
NULL,p209,472,100,bodytext,,
NULL,p209,473,100,bodytext,,
NULL,p209,474,100,bodytext,,
NULL,p209,475,100,bodytext,,
NULL,p209,476,100,bodytext,,
NULL,p209,477,100,bodytext,,
NULL,p209,478,100,bodytext,,
NULL,p209,479,100,centered,,
NULL,p209,480,4,subhead,Āpattibhedavaṇṇanā,
NULL,p209,481,100,bodytext,,
NULL,p209,482,100,bodytext,,
NULL,p209,483,100,centered,,
NULL,p209,484,4,subhead,Anāpattibhedavaṇṇanā,
NULL,p209,485,100,bodytext,,
NULL,p209,486,100,centered,,
NULL,p209,487,4,subhead,Pakiṇṇakakathāvaṇṇanā,
NULL,p209,488,100,bodytext,,
NULL,p209,489,100,bodytext,,
NULL,p209,490,100,gatha1,,
NULL,p209,491,100,gathalast,,
NULL,p209,492,100,gatha1,,
NULL,p209,493,100,gathalast,,
NULL,p209,494,4,subhead,Vinītavatthuvaṇṇanā,
NULL,p209,495,100,bodytext,,
NULL,p209,496,100,gatha1,,
NULL,p209,497,100,gathalast,,
NULL,p209,498,100,bodytext,,
NULL,p209,499,100,bodytext,,
NULL,p209,500,4,subhead,Kusasaṅkāmanavatthukathāvaṇṇanā,
NULL,p209,501,100,bodytext,,
NULL,p209,502,100,bodytext,,
NULL,p209,503,100,bodytext,,
NULL,p209,504,100,bodytext,,
NULL,p209,505,100,bodytext,,
NULL,p209,506,100,bodytext,,
NULL,p209,507,100,bodytext,,
NULL,p209,508,100,centered,,
NULL,p209,509,3,title,3. Tatiyapārājikaṃ,第三巴拉基卡
NULL,p209,510,4,subhead,Paṭhamapaññattinidānavaṇṇanā,
NULL,p209,511,100,bodytext,,
NULL,p209,512,100,bodytext,,
NULL,p209,513,100,bodytext,,
NULL,p209,514,100,bodytext,,
NULL,p209,515,100,bodytext,,
NULL,p209,516,100,bodytext,,
NULL,p209,517,100,bodytext,,
NULL,p209,518,4,subhead,Ānāpānassatisamādhikathāvaṇṇanā,
NULL,p209,519,100,bodytext,,
NULL,p209,520,100,bodytext,,
NULL,p209,521,100,bodytext,,
NULL,p209,522,100,bodytext,,
NULL,p209,523,100,bodytext,,
NULL,p209,524,100,bodytext,,
NULL,p209,525,100,bodytext,,
NULL,p209,526,100,bodytext,,
NULL,p209,527,100,bodytext,,
NULL,p209,528,100,bodytext,,
NULL,p209,529,100,bodytext,,
NULL,p209,530,100,bodytext,,
NULL,p209,531,100,bodytext,,
NULL,p209,532,100,bodytext,,
NULL,p209,533,100,bodytext,,
NULL,p209,534,100,bodytext,,
NULL,p209,535,100,bodytext,,
NULL,p209,536,100,bodytext,,
NULL,p209,537,100,bodytext,,
NULL,p209,538,4,subhead,Padabhājanīyavaṇṇanā,
NULL,p209,539,100,bodytext,,
NULL,p209,540,100,gatha1,,
NULL,p209,541,100,gatha2,,
NULL,p209,542,100,gathalast,,
NULL,p209,543,100,bodytext,,
NULL,p209,544,100,bodytext,,
NULL,p209,545,100,bodytext,,
NULL,p209,546,100,bodytext,,
NULL,p209,547,100,gatha1,,
NULL,p209,548,100,gathalast,,
NULL,p209,549,100,gatha1,,
NULL,p209,550,100,gathalast,,
NULL,p209,551,100,gatha1,,
NULL,p209,552,100,gathalast,,
NULL,p209,553,100,gatha1,,
NULL,p209,554,100,gathalast,,
NULL,p209,555,100,gatha1,,
NULL,p209,556,100,gathalast,,
NULL,p209,557,100,gatha1,,
NULL,p209,558,100,gathalast,,
NULL,p209,559,100,gatha1,,
NULL,p209,560,100,gathalast,,
NULL,p209,561,100,gatha1,,
NULL,p209,562,100,gathalast,,
NULL,p209,563,100,gatha1,,
NULL,p209,564,100,gathalast,,
NULL,p209,565,100,gatha1,,
NULL,p209,566,100,gathalast,,
NULL,p209,567,100,gatha1,,
NULL,p209,568,100,gathalast,,
NULL,p209,569,100,gatha1,,
NULL,p209,570,100,gathalast,,
NULL,p209,571,100,gatha1,,
NULL,p209,572,100,gathalast,,
NULL,p209,573,100,gatha1,,
NULL,p209,574,100,gathalast,,
NULL,p209,575,100,bodytext,,
NULL,p209,576,100,bodytext,,
NULL,p209,577,100,bodytext,,
NULL,p209,578,100,bodytext,,
NULL,p209,579,100,bodytext,,
NULL,p209,580,100,bodytext,,
NULL,p209,581,100,bodytext,,
NULL,p209,582,100,bodytext,,
NULL,p209,583,100,bodytext,,
NULL,p209,584,100,bodytext,,
NULL,p209,585,100,bodytext,,
NULL,p209,586,100,bodytext,,
NULL,p209,587,100,gatha1,,
NULL,p209,588,100,gathalast,,
NULL,p209,589,100,bodytext,,
NULL,p209,590,100,bodytext,,
NULL,p209,591,100,bodytext,,
NULL,p209,592,100,centered,,
NULL,p209,593,4,subhead,Vinītavatthuvaṇṇanā,
NULL,p209,594,100,bodytext,,
NULL,p209,595,100,bodytext,,
NULL,p209,596,100,bodytext,,
NULL,p209,597,100,bodytext,,
NULL,p209,598,100,bodytext,,
NULL,p209,599,100,bodytext,,
NULL,p209,600,100,bodytext,,
NULL,p209,601,100,bodytext,,
NULL,p209,602,100,bodytext,,
NULL,p209,603,100,bodytext,,
NULL,p209,604,100,centered,,
NULL,p209,605,3,title,4. Catutthapārājikaṃ,第四巴拉基卡
NULL,p209,606,4,subhead,Vaggumudātīriyabhikkhuvatthuvaṇṇanā,
NULL,p209,607,100,bodytext,,
NULL,p209,608,100,bodytext,,
NULL,p209,609,4,subhead,Savibhaṅgasikkhāpadavaṇṇanā,
NULL,p209,610,100,bodytext,,
NULL,p209,611,4,subhead,Padabhājanīyavaṇṇanā,
NULL,p209,612,100,bodytext,,
NULL,p209,613,100,bodytext,,
NULL,p209,614,100,bodytext,,
NULL,p209,615,100,bodytext,,
NULL,p209,616,100,centered,,
NULL,p209,617,4,subhead,Vattukāmavārakathāvaṇṇanā,
NULL,p209,618,100,bodytext,,
NULL,p209,619,100,centered,,
NULL,p209,620,4,subhead,Anāpattibhedakathāvaṇṇanā,
NULL,p209,621,100,bodytext,,
NULL,p209,622,100,centered,,
NULL,p209,623,4,subhead,Vinītavatthuvaṇṇanā,
NULL,p209,624,100,bodytext,,
NULL,p209,625,100,bodytext,,
NULL,p209,626,100,bodytext,,
NULL,p209,627,4,subhead,Nigamanavaṇṇanā,
NULL,p209,628,100,bodytext,,
NULL,p209,629,100,centered,,
NULL,p209,630,100,centered,,
NULL,p209,631,4,subhead,2. Saṅghādisesakaṇḍo,
NULL,p209,632,4,subhead,1. Sukkavissaṭṭhisikkhāpadavaṇṇanā,
NULL,p209,633,100,bodytext,,
NULL,p209,634,100,bodytext,,
NULL,p209,635,100,bodytext,,
NULL,p209,636,100,bodytext,,
NULL,p209,637,100,bodytext,,
NULL,p209,638,100,bodytext,,
NULL,p209,639,100,bodytext,,
NULL,p209,640,100,bodytext,,
NULL,p209,641,100,bodytext,,
NULL,p209,642,100,bodytext,,
NULL,p209,643,100,bodytext,,
NULL,p209,644,100,centered,,
NULL,p209,645,4,subhead,2. Kāyasaṃsaggasikkhāpadavaṇṇanā,
NULL,p209,646,100,bodytext,,
NULL,p209,647,100,bodytext,,
NULL,p209,648,100,bodytext,,
NULL,p209,649,4,subhead,Padabhājanīyavaṇṇanā,
NULL,p209,650,100,bodytext,,
NULL,p209,651,100,bodytext,,
NULL,p209,652,100,bodytext,,
NULL,p209,653,100,bodytext,,
NULL,p209,654,100,bodytext,,
NULL,p209,655,100,bodytext,,
NULL,p209,656,4,subhead,Vinītavatthuvaṇṇanā,
NULL,p209,657,100,bodytext,,
NULL,p209,658,100,bodytext,,
NULL,p209,659,100,indent,,
NULL,p209,660,100,bodytext,,
NULL,p209,661,100,centered,,
NULL,p209,662,4,subhead,3. Duṭṭhullavācāsikkhāpadavaṇṇanā,
NULL,p209,663,100,bodytext,,
NULL,p209,664,4,subhead,Padabhājanīyavaṇṇanā,
NULL,p209,665,100,bodytext,,
NULL,p209,666,100,bodytext,,
NULL,p209,667,4,subhead,Vinītavatthuvaṇṇanā,
NULL,p209,668,100,bodytext,,
NULL,p209,669,100,centered,,
NULL,p209,670,4,subhead,4. Attakāmapāricariyasikkhāpadavaṇṇanā,
NULL,p209,671,100,bodytext,,
NULL,p209,672,100,bodytext,,
NULL,p209,673,100,bodytext,,
NULL,p209,674,100,centered,,
NULL,p209,675,4,subhead,5. Sañcarittasikkhāpadavaṇṇanā,
NULL,p209,676,100,bodytext,,
NULL,p209,677,100,bodytext,,
NULL,p209,678,4,subhead,Padabhājanīyavaṇṇanā,
NULL,p209,679,100,bodytext,,
NULL,p209,680,100,bodytext,,
NULL,p209,681,100,bodytext,,
NULL,p209,682,100,bodytext,,
NULL,p209,683,4,subhead,Vinītavatthuvaṇṇanā,
NULL,p209,684,100,bodytext,,
NULL,p209,685,100,centered,,
NULL,p209,686,4,subhead,6. Kuṭikārasikkhāpadavaṇṇanā,
NULL,p209,687,100,bodytext,,
NULL,p209,688,100,bodytext,,
NULL,p209,689,100,bodytext,,
NULL,p209,690,100,bodytext,,
NULL,p209,691,100,bodytext,,
NULL,p209,692,100,bodytext,,
NULL,p209,693,100,bodytext,,
NULL,p209,694,100,bodytext,,
NULL,p209,695,100,centered,,
NULL,p209,696,4,subhead,7. Vihārakārasikkhāpadavaṇṇanā,
NULL,p209,697,100,bodytext,,
NULL,p209,698,100,centered,,
NULL,p209,699,4,subhead,8. Paṭhamaduṭṭhadosasikkhāpadavaṇṇanā,
NULL,p209,700,100,bodytext,,
NULL,p209,701,100,bodytext,,
NULL,p209,702,100,bodytext,,
NULL,p209,703,100,bodytext,,
NULL,p209,704,100,bodytext,,
NULL,p209,705,100,bodytext,,
NULL,p209,706,100,bodytext,,
NULL,p209,707,100,bodytext,,
NULL,p209,708,100,bodytext,,
