id,word,type,grammar,parent,mean,note,factors,factormean,status,confidence,strlen,source,language
71,abbhuggañchi,,,," 上升$上漲$升高$",【aor】,abbhuggacchati,,1,80,12,shuihan,zh-hant
72,abbhuggantvā,,,abbhuggacchati," 上升$上漲$升高$",【ger】,,,1,80,12,shuihan,zh-hant
73,abbhuggata,,,abbhuggacchati," 上升$上漲$升高$",.pp.,,,1,80,10,shuihan,zh-hant
74,abbhujjalana,,,," (借助於魔力$從口中)噴吐出火燄的事$",n.,[abhi-ud-jalana],,1,80,12,shuihan,zh-hant
75,abbhukkirati,,,," 撒布$注(灌$倒)入$"," ",[abhi-ud-kirati],,1,80,12,shuihan,zh-hant
76,abbhukkirati,,,," 撒布$鋪(上)$覆(蓋)$",【cf】,abbhokirati,,1,80,12,shuihan,zh-hant
77,abbhuṃ,,,," 啊!(哎呀!)好可怕$",interj.,[Sk. abhvaṃ],,1,80,6,shuihan,zh-hant
78,abbhumāna,,,abbhussakkati," 超越前進$上升到上面$攀高$",【ppr】,,,1,80,9,shuihan,zh-hant
79,abbhunnadita,.adj.,,," (掌聲等)響(遍)的$(名聲等)馳名聞名的$(扯開嗓子)大聲喊叫的 (共鳴共振反響迴響的$響亮轟動馳名的)$",a.,[abhi-ud-nadati 的 pp.],,1,80,12,shuihan,zh-hant
80,abbhunnamati,,,," 飛(起)上$(因吃驚或高興而)跳起來$(煙等)冒起$上升$出現$顯現出來$(芽)露出來$"," ",[abhi-ud-namati],,1,80,12,shuihan,zh-hant
81,abbhunnāmeti,,,,,【caus】,abbhunnamati,,1,80,12,shuihan,zh-hant
82,abbhunnata,,,abbhunnamati," 飛(起)上$(因吃驚或高興而)跳起來$(煙等)冒起$上升$出現$顯現出來$(芽)露出來$",.pp.,,,1,80,10,shuihan,zh-hant
83,abbhuṇṇata,,,abbhunnamati," 飛(起)上$(因吃驚或高興而)跳起來$(煙等)冒起$上升$出現$顯現出來$(芽)露出來$",.pp.,,,1,80,10,shuihan,zh-hant
84,abbhussakkati,,,," 超越前進$上升到上面$攀高$"," ",[abhiud-ṣvaṣk],,1,80,13,shuihan,zh-hant
85,abbhutaa.n.,,,,,[a-bhūta% Sk. adbhuta]," 未曾有的% 希有的. abbhutaṃ 希有(地)% 不思議(地).",,1,80,11,shuihan,zh-hant
86,abbhutaa.n.dhamma,.n:base.,,," 未曾有法$希有法 ",_comp_,abbhuta① a. n.+dhamma,,1,80,17,shuihan,zh-hant
87,abbhuṭṭhāti,,,," (開始)著手$(開始)進行$"," ",[abhi-ud-sthā],,1,80,11,shuihan,zh-hant
88,abbhuyyāsi,,,," 進行$進(軍攻)撃$",【aor】,abbhuyyāti,,1,80,10,shuihan,zh-hant
89,abbhuyyāta,.adj.,,," 已進行的$已進(軍攻)撃的$",a.,[abbhuyyāti 的 pp.],,1,80,10,shuihan,zh-hant
90,abbhuyyāti,,,," 進行$進(軍攻)撃$"," ",[abhi-ud-yāti],,1,80,10,shuihan,zh-hant
91,abbokiṇṇa,.adj.,,," abbhocchinna]$已充滿的$已被破壞的$",a.,[abhi-avakiṇṇa.【cf】,,1,80,9,shuihan,zh-hant
92,abbokiṇṇa,,,," 不被切斷的$連續的$",【cf】,abbhocchinna,,1,80,9,shuihan,zh-hant
93,abbokiṇṇa,,,abbhokirati," 撒布$鋪(上)$覆(蓋)$",.pp.,,,1,80,9,shuihan,zh-hant
94,abbuda,.adj.,,," ➀ 阿部曇$胞$[胎內五位之一]$➁ 垢濁$➂$[數]$垓$➃$[地獄]$阿浮陀$[八寒地獄之ー]$",a.,[Sk. arbuda],,1,80,6,shuihan,zh-hant
95,abbuhi,,,," 拔出(刺$飛鏢等)$",【aor】,abbahati,,1,80,6,shuihan,zh-hant
96,abbūhita,.adj.,,," 已拔出的$已破壞的$",a.,[abbāheti 的 pp.],,1,80,8,shuihan,zh-hant
97,abbūḷha,.adj.,,," 已拔的$已拔出的$",a.,[abbahati 的 pp. Sk. ābṛḍha],,1,80,7,shuihan,zh-hant
98,abbūḷha,,,abbahati," 拔出(刺$飛鏢等)$",.pp.,,,1,80,7,shuihan,zh-hant
99,abbūḷhesika,.adj.,,," 已拔除欲求的$已拔箭的$",a.,[abbūḷha-esika],,1,80,11,shuihan,zh-hant
100,abbūḷhita,.adj.,,," 已拔出的$已破壞的$",a.,[abbāheti 的 pp.],,1,80,9,shuihan,zh-hant
101,abbūḷhita,,,abbahati," 拔出(刺$飛鏢等)$",.pp.,,,1,80,9,shuihan,zh-hant
102,abbuyha,,,abbahati," 拔出(刺$飛鏢等)$",【ger】,,,1,80,7,shuihan,zh-hant
103,abbyahati,,,,," "," ",,1,80,9,shuihan,zh-hant
104,ābhā,.n:base.,.f.,," 光$光明$",f.,[〃＜ābhāti],,1,80,4,shuihan,zh-hant
105,abhabba,.adj.,,," 不可能的$不能的$",a.,[a-bhabba],,1,80,7,shuihan,zh-hant
106,abhabbatā,.n:base.,.f.,,,f.," ",,1,80,9,shuihan,zh-hant
107,ābharaṇa,,,," 莊身具(莊嚴或裝飾身體之飾物)$瓔珞$",n.,,,1,80,8,shuihan,zh-hant
108,ābharati,,,," 運送$搬運$"," ",[ā-bhṛ],,1,80,8,shuihan,zh-hant
109,ābhāsa,.n:base.,.m.,," 光輝$光耀$光照$",m.,,,1,80,6,shuihan,zh-hant
110,abhāsita,.adj.,,," 不說的$無所說的$",a.,[a-bhāsita],,1,80,8,shuihan,zh-hant
111,abhāsiya,,,," 不語(地)$",adv.,[a-bhāsiya＜bhāsati 的 ger.],,1,80,8,shuihan,zh-hant
112,Ābhassara,.n:base.,.m.,," 光音$[天]$極光$[天]$[第二禪天的最上位]$",m.,[BSk. Ābhāsvara],,1,80,9,shuihan,zh-hant
113,ābhata,.adj.,,," 已被運送的$已被持來(或持去)的$",a.,[ā-bharati 的 pp.],,1,80,6,shuihan,zh-hant
114,ābhata,,,ābharati," 運送$搬運$",.pp.,,,1,80,6,shuihan,zh-hant
115,ābhāti,,,," 發光(發亮)$放光$輝耀$閃耀$"," ",[ā-bhā],,1,80,6,shuihan,zh-hant
116,ābhatvā,,,ābharati," 運送$搬運$",【ger】,,,1,80,7,shuihan,zh-hant
117,abhāvanīya,.adj.,,," 不可(不應)崇敬的$",a.,[a-bhāvanīya],,1,80,10,shuihan,zh-hant
118,abhāvita,.adj.,,," 不修習的$",a.,[a-bhāvita],,1,80,8,shuihan,zh-hant
119,abhāvitacitta,.n:base.,,," 不修習心$",_comp_,abhāvita+citta,,1,80,13,shuihan,zh-hant
120,abhaya,.adj.,,," 無畏$無怖$",a. n.,[a-bhaya],,1,80,6,shuihan,zh-hant
121,abhaya,.n:base.,,,#-dāna無畏施$,_comp_,abhaya+,,1,80,6,shuihan,zh-hant
122,abhayada,.n:base.,,," 施無畏$",_comp_,abhaya+da,,1,80,8,shuihan,zh-hant
123,abhayagiri,.n:base.,.m.,,$,m. アバヤギリ(Abhayagiri的片假名發音)% 無畏山,[寺],,1,80,10,shuihan,zh-hant
124,abhejja,.adj.,,," 不被破壞的$不壞的$",a.,[a-bhejja% Sk. abhedya],,1,80,7,shuihan,zh-hant
125,ābheti,,,," 發光(發亮)$放光$輝耀$閃耀$",【cf】,ābhāti,,1,80,6,shuihan,zh-hant
126,abhi-,,,,,prep.," ",,1,80,5,shuihan,zh-hant
127,abhibhāsana,,,," 歡喜$光照$",n.,[abhi-bhāsana＜bhās],,1,80,11,shuihan,zh-hant
128,abhibhavana,,,," 征服$勝利$",n.,[cf. abhibhavati],,1,80,11,shuihan,zh-hant
129,abhibhavanīya,,,abhibhavati," 打勝$征服$",【grd】,,,1,80,13,shuihan,zh-hant
130,abhibhavati,,,," 打勝$征服$"," ",[abhi-bhavati],,1,80,11,shuihan,zh-hant
131,abhibhavitvā,,,abhibhavati," 打勝$征服$",【ger】,,,1,80,12,shuihan,zh-hant
132,abhibhāyatana,,,," 勝處$",n.,[abhibhū-āyatana],,1,80,13,shuihan,zh-hant
133,abhibhotvāna,,,abhibhavati," 打勝$征服$",【ger】,,,1,80,12,shuihan,zh-hant
134,abhibhū,.adj.,,," 勝利$征服的$",n. a.,[cf. abhibhavati],,1,80,7,shuihan,zh-hant
135,abhibhūta,.adj.,,," 已征服的$已打勝的$勝利的$",a.,[abhibhavati 的 pp.],,1,80,9,shuihan,zh-hant
136,abhibhūta,,,abhibhavati," 打勝$征服$",.pp.,,,1,80,9,shuihan,zh-hant
137,abhibhūyamāna,,,abhibhūyati," 被征服$",【ppr】,,,1,80,13,shuihan,zh-hant
138,abhibhūyati,,,," 被征服$"," ",[abhibhavati 的 pass.],,1,80,11,shuihan,zh-hant
139,abhibhūyati,,,abhibhavati," 打勝$征服$",【pass】,,,1,80,11,shuihan,zh-hant
140,abhibhuyya,,,abhibhavati," 打勝$征服$",【ger】,,,1,80,10,shuihan,zh-hant
141,abhibhuyyati,,,abhibhavati," 打勝$征服$",【pass】,,,1,80,12,shuihan,zh-hant
142,abhicchanna,.adj.,,," 被覆(蓋)得很好的$被裝(修)飾(而增色)的$",a.,[abhi-channa],,1,80,11,shuihan,zh-hant
143,abhicetasika,.adj.,,," = ābhicetasika 増上心的$",a.,[abhi-cetas-ika],,1,80,12,shuihan,zh-hant
144,abhiceteti,,,," 思念$"," ",[abhi-ceteti],,1,80,10,shuihan,zh-hant
145,abhidaa.強力的.,,,,,②," bhindati 的 aor. 3sg.",,1,80,12,shuihan,zh-hant
146,abhidhamati,,,," 大力地吹$吹得很猛烈$"," ",[abhi-dhamati],,1,80,11,shuihan,zh-hant
147,abhidhamma,.n:base.,.m.,," 阿毘達磨$阿毘曇$論$對法$勝法$[三藏之ー]$",m.,[abhi-dhamma% Sk. abhidharma],,1,80,10,shuihan,zh-hant
148,abhidhammāvatāra,.n:base.,.m.,,$,m. 入阿毘達磨論,[Buddhadatta所作的哲學書],,1,80,16,shuihan,zh-hant
149,ābhidhammika,.adj.,,," 阿毘達磨師$論師$",a.,[abhidhamma-ika% BSk. ābhidharmika],,1,80,12,shuihan,zh-hant
150,abhidhara,.adj.,,," 堅固的$確固的$",a.,[abhi-dhara],,1,80,9,shuihan,zh-hant
151,abhidhāreti,,,," 懸掛(招牌等)$高舉(火把等)$"," ",[abhi-dhāreti],,1,80,11,shuihan,zh-hant
152,abhidhāvati,,,," 跑$急$趕(路)$趕快$著急$"," ",[abhi-dhāvati],,1,80,11,shuihan,zh-hant
153,abhidosa,.adj.,,," 前一夜(昨日夜晚)$昨晚$",a.,[abhi-dosā],,1,80,8,shuihan,zh-hant
154,abhidosika,.adj.,,," 昨晚的$",a.,[abhidosa-ika],,1,80,10,shuihan,zh-hant
155,ābhidosika,.adj.,,," 昨夜的$昨晩的$",a.,[abhi-dosa-ika],,1,80,10,shuihan,zh-hant
156,ābhidosika,,,," 昨晚的$",【cf】,abhidosika,,1,80,10,shuihan,zh-hant
157,ābhidosikakālakata,.n:base.,,," 已昨夜命終的$",_comp_,ābhidosika+kālakata,,1,80,18,shuihan,zh-hant
158,abhigajjati,,,," 吼(喊)叫$雷鳴(打雷)$喋喋不休$(鳥$貓等)鳴叫$"," ",[abhi-gajjati＜garj],,1,80,11,shuihan,zh-hant
159,abhigajjin,.adj.,,," 歌唱的$(吱吱喳喳)鳥鳴叫的$喋喋不休的$",a.,[＜abhigajjati],,1,80,10,shuihan,zh-hant
160,abhigajjiya,,,abhigajjati," 吼(喊)叫$雷鳴(打雷)$喋喋不休$(鳥$貓等)鳴叫$",【ger】,,,1,80,11,shuihan,zh-hant
161,abhigijjhati,,,,貪求$熱望(渴望)$②$【acc】$羨慕$," ",[abhi-gijjhati]①【loc】,,1,80,12,shuihan,zh-hant
162,abhigīta,.adj.,,,②$以歌唱(方式)充當(作為)～ 的$鳥鳴叫聲多的$[e$g$gāthā-abhigīta (藉由)唱誦偈頌而得的(食物)]$,a.,"[abhigāyati 的 pp.]① 已歌唱的% 已諷誦的. ",,1,80,8,shuihan,zh-hant
163,abhihaṃsati,,,," 使喜$使滿足$喜$"," ",[abhi-haṃsati＜hṛṣ],,1,80,11,shuihan,zh-hant
164,abhihanati,,,," 打$殺$破壞$征服$"," ",[abhi-han],,1,80,10,shuihan,zh-hant
165,abhihāra,.n:base.,.m.,," 持來$提供$贈與$",m.,[＜abhiharati],,1,80,8,shuihan,zh-hant
166,abhiharati,,,,," ",[abhi-harati＜hṛ]① 持來% 運(送%搬%作).,,1,80,10,shuihan,zh-hant
167,abhihārayi,,,," 使運送(使持來$讓人帶來)$得$從事$至$已到著(到達)$",【aor】,abhihāreti,,1,80,10,shuihan,zh-hant
168,abhihārayiṃ,,,," 使運送(使持來$讓人帶來)$得$從事$至$已到著(到達)$",【aor】,abhihāreti,,1,80,11,shuihan,zh-hant
169,abhihāresi,,,," 使運送(使持來$讓人帶來)$得$從事$至$已到著(到達)$",【aor】,abhihāreti,,1,80,10,shuihan,zh-hant
170,abhihāreti,,,," 使運送(使持來$讓人帶來)$得$從事$至$已到著(到達)$"," ",[abhiharati 的 caus.],,1,80,10,shuihan,zh-hant
171,abhihāreti,,,,②,【caus】,abhiharati,,1,80,10,shuihan,zh-hant
172,abhihariyati,,,abhiharati,,【pass】,,,1,80,12,shuihan,zh-hant
173,abhihata,,,abhihanati," 打$殺$破壞$征服$",.pp.,,,1,80,8,shuihan,zh-hant
174,abhihaṭa,.adj.,,," 已持來的$已運(送$搬$作)的$",a.,[abhiharati 的 pp.],,1,80,8,shuihan,zh-hant
175,abhihaṭa,,,abhiharati,,.pp.,,,1,80,8,shuihan,zh-hant
176,abhihaṭṭhuṃ,,,," 持來～$"," ",[abhiharati 的 ger.],,1,80,11,shuihan,zh-hant
177,abhihaṭṭhuṃ,,,abhiharati,,【inf】,,,1,80,11,shuihan,zh-hant
178,abhihessati,,,," 打勝$征服$",【fut】,abhibhavati,,1,80,11,shuihan,zh-hant
179,abhihessati,,,," 使運送(使持來$讓人帶來)$得$從事$至$已到著(到達)$",【fut】,abhihāreti,,1,80,11,shuihan,zh-hant
180,abhihessati,,,,,abhihāreti," ",,1,80,11,shuihan,zh-hant
181,abhijacca,,,," (家庭)出身$階級$種類$",【cf】,abhijāti,,1,80,9,shuihan,zh-hant
182,abhijacca,,,," (家庭)出身$家柄(家世)$",n.,[abhijāti-ya],,1,80,9,shuihan,zh-hant
183,abhijāna,,,," 自証$",n.,[Sk. abhijñāna],,1,80,8,shuihan,zh-hant
184,abhijānaṃ,.pron.,,abhijānāti," 証知$自証$",【nom. sg.】,,,1,80,9,shuihan,zh-hant
185,abhijānaṃ,,,abhijānāti," 証知$自証$",【ppr】,,,1,80,9,shuihan,zh-hant
186,abhijānāti,,,," 証知$自証$"," ",[abhi-jānāti],,1,80,10,shuihan,zh-hant
187,abhijāneyya,,,abhijānāti," 証知$自証$",.opt.,,,1,80,11,shuihan,zh-hant
188,abhijānissaṃ,,,," 証知$自証$",【aor】,abhijānāti,,1,80,12,shuihan,zh-hant
189,abhijānitvā,,,abhijānāti," 証知$自証$",【ger】,,,1,80,11,shuihan,zh-hant
190,abhijaññā,,,abhijānāti," 証知$自証$",.opt.,,,1,80,9,shuihan,zh-hant
191,abhijappā,.n:base.,.f.,," 欲求$希求$",f.,[cf. abhijappati],,1,80,9,shuihan,zh-hant
192,abhijappati,,,," 欲求$希求$"," ",[abhi-jappati],,1,80,11,shuihan,zh-hant
193,abhijappin,.adj.,,," 欲(求)的$希求的$",a.,[cf. abhijappati],,1,80,10,shuihan,zh-hant
194,abhijāti,.n:base.,.f.,," (家庭)出身$階級$種類$",f.,[abhi-jāti],,1,80,8,shuihan,zh-hant
195,ābhijāti,,,," (家庭)出身$階級$種類$",【cf】,abhijāti,,1,80,8,shuihan,zh-hant
196,abhijātika,.adj.,,," 屬於(有良好)出身的$階級的 (根據出生來歷或種族而定貴賤等)$",a.,[＜abhijāti],,1,80,10,shuihan,zh-hant
197,abhijavati,,,," 熱心$積極$"," ",[abhi-javati＜ju],,1,80,10,shuihan,zh-hant
198,abhijāyati,,,," (出)生$(生)長$產生$結果$(獲)得$有$行動$請客$"," ",[abhi-jāyati],,1,80,10,shuihan,zh-hant
199,abhijeti,,,," 征服$打勝$"," ",[abhi-jayati],,1,80,8,shuihan,zh-hant
200,abhijigiṃsati,,,," 欲(去)征服$貪求$"," ",[abhi-jigiṃsati],,1,80,13,shuihan,zh-hant
201,abhijihanā,.n:base.,.f.,," 熱勤$精勤$",f.,[abhi-jihanā＜jeh],,1,80,10,shuihan,zh-hant
202,abhijīvanika,.adj.,,," 活動的$生活的$",a.,[abhijīvana-ika],,1,80,12,shuihan,zh-hant
203,abhijjamāna,.adj.,,," 不被破壞的$不沈(没)的$udake pi abhijjamāno gacchati 在水上行走也不會沈没$",a.,[a-bhijjati 的 ppr.],,1,80,11,shuihan,zh-hant
204,abhijjanaka,.adj.,,," 不壞的$無影響的$",a.,[a-bhijjana-ka],,1,80,11,shuihan,zh-hant
205,abhijjhā,.n:base.,.f.,," 貪$貪欲$貪求$貪愛$",f.,[cf. abhi-jhāyati% Sk. abhidhyāna],,1,80,8,shuihan,zh-hant
206,abhijjhālu,.adj.,,," 有貪的$貪欲的$貪求的$貪愛的$",a.,[cf. abhijjhā% BSk. abhidyālu],,1,80,10,shuihan,zh-hant
207,abhijjhālū,.adj.,,," 有貪的$貪欲的$貪求的$貪愛的$",a.,[cf. abhijjhā% BSk. abhidyālu],,1,80,10,shuihan,zh-hant
208,abhijjhāti,,,,②$嫉妬$," ","[abhi-jhāyati]① 欲% 貪. ",,1,80,10,shuihan,zh-hant
209,abhijjhāya,,,abhijjhāti,②$嫉妬$,【ger】,,,1,80,10,shuihan,zh-hant
210,abhijjhāyiṃsu,,,,②$嫉妬$,【aor】,abhijjhāti,,1,80,13,shuihan,zh-hant
211,abhijjhita,.adj.,,," 已貪求的$",a.,[abhijjhāti 的 pp.],,1,80,10,shuihan,zh-hant
212,abhijjhita,,,abhijjhāti,②$嫉妬$,.pp.,,,1,80,10,shuihan,zh-hant
213,abhijjhitar,.n:base.,.m.,,,m.," ",,1,80,11,shuihan,zh-hant
214,abhijoteti,,,," 使明確$解釋說明$"," ",[abhi-joteti],,1,80,10,shuihan,zh-hant
215,abhikaṅkhati,,,," 期待$希望$欲求$"," ",[BSk. abhikāṅkṣati],,1,80,12,shuihan,zh-hant
216,abhikaṅkhin,.adj.,,," 希望的$期待的$",a.,[abhikaṅkha-in],,1,80,11,shuihan,zh-hant
217,abhikaṅkhita,,,abhikaṅkhati," 期待$希望$欲求$",【ppr】,,,1,80,12,shuihan,zh-hant
218,abhikiṇṇa,.adj.,,,②$已被征服的$已被破壞的$,a.,"[abhikirati 的 pp.]① 已被撒布的% 已被覆(蓋)的. ",,1,80,9,shuihan,zh-hant
219,abhikiṇṇa,,,abhikirati,[Sk$abhikirati]$撒布$②$[Sk$avakirati]$壓倒$破壞$丟棄$,.pp.,,,1,80,9,shuihan,zh-hant
220,abhikirati,,,,[Sk$abhikirati]$撒布$②$[Sk$avakirati]$壓倒$破壞$丟棄$," ","[abhi-kirati]① ",,1,80,10,shuihan,zh-hant
221,abhikkama,.n:base.,.m.,," 進展$増進$",m.,[Sk. abhikrama],,1,80,9,shuihan,zh-hant
222,abhikkamati,,,," 前進$進行$靠(接)近$"," ",[Sk. abhikramati],,1,80,11,shuihan,zh-hant
