a","b","c","","d","","e"
[,"ant","antamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"ant","antānaṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"ant","antānaṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"ant","antānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"ant","antānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"ant","antānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"ant","antānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"ant","antani",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"ant","antāni",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"ant","antani",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"ant","antāni",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"ant","antani",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"ant","antāni",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"ant","antasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"ant","antasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"ant","antasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"ant","antasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"ant","antasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"ant","antasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"ant","antasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"ant","antasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"ant","antassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"ant","antassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"ant","antassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"ant","antassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"ant","antassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"ant","antassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"ant","antassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"ant","antassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"ant","ante",".ti.",".m.$.pl.$.acc.","0.99",],
[,"ant","ante",".ti.",".m.$.sg.$.loc.","0.99",],
[,"ant","ante",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"ant","ante",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"ant","antebhi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"ant","antebhi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"ant","antebhi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"ant","antebhi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"ant","antehi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"ant","antehi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"ant","antehi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"ant","antehi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"ant","antesu",".ti.",".m.$.pl.$.loc.","0.99",],
[,"ant","antesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"ant","antesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"ant","antī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"ant","antī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"ant","antī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"ant","antī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"ant","antī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"ant","antībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"ant","antībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"ant","antīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"ant","antīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"ant","antiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"ant","antīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"ant","antīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
[,"ant","antīsu",".ti.",".f.$.pl.$.loc.","0.99",],
[,"ant","antiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"ant","antiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"ant","antiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"ant","antiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"ant","antiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"ant","antiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"ant","antiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"ant","antiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"ant","antiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"ant","anto",".ti.",".m.$.pl.$.nom.","0.99",],
[,"ant","anto",".ti.",".m.$.pl.$.voc.","0.3",],
[,"ant","anto",".ti.",".m.$.sg.$.nom.","0.99",],
[,"ant","anto",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"ant","anto",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"ant","anto",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"ant","atā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"ant","atā",".ti.",".m.$.sg.$.inst.","0.99",],
[,"ant","atā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"ant","atā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"ant","atā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"ant","atā",".ti.",".m.$.sg.$.inst.","0.99",],
[,"ant","atā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"ant","atā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"ant","ataṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"ant","ataṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"ant","ataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"ant","ataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"ant","ataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"ant","ataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"ant","atena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"ant","atena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"ant","atena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"ant","atena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"ant","atī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"ant","atī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"ant","atī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"ant","atī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"ant","atī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"ant","ati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"ant","ati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"ant","ati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"ant","ati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"ant","atībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"ant","atībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"ant","atīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"ant","atīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"ant","atiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"ant","atīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"ant","atīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
[,"ant","atīsu",".ti.",".f.$.pl.$.loc.","0.99",],
[,"ant","atiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"ant","atiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"ant","atiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"ant","atiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"ant","atiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"ant","atiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"ant","atiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"ant","atiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"ant","atiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"ant","ato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"ant","ato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"ant","ato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"ant","ato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"ant","ato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"ant","ato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"ant","ato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"ant","ato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"anta","antā",".ti.",".m.$.pl.$.nom.","0.99",],
[,"anta","antā",".ti.",".m.$.pl.$.voc.","0.3",],
[,"anta","antā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"anta","anta",".ti.",".m.$.sg.$.voc.","0.3",],
[,"anta","antā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"anta","anta",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"anta","antā",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"anta","anta",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"anta","antā",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"anta","anta",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"anta","antā",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"anta","antā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"anta","anta",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"anta","antā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"anta","antaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"anta","antaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"anta","antaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"anta","antaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"anta","antaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"anta","antaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"anta","antamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"anta","antamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"anta","antamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"anta","antamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"anta","antamhi",".ti.",".m.$.sg.$.loc.","0.99",],
[,"anta","antamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"anta","antamhi",".ti.",".m.$.sg.$.loc.","0.99",],
[,"anta","antamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"anta","antānaṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"anta","antānaṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"anta","antānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"anta","antānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"anta","antānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"anta","antānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"anta","antani",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"anta","antāni",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"anta","antani",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"anta","antāni",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"anta","antani",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"anta","antāni",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"anta","antasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"anta","antasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"anta","antasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"anta","antasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"anta","antasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"anta","antasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"anta","antasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"anta","antasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"anta","antassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"anta","antassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"anta","antassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"anta","antassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"anta","antassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"anta","antassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"anta","antassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"anta","antassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"anta","ante",".ti.",".m.$.pl.$.acc.","0.99",],
[,"anta","ante",".ti.",".m.$.sg.$.loc.","0.99",],
[,"anta","ante",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"anta","ante",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"anta","antebhi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"anta","antebhi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"anta","antebhi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"anta","antebhi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"anta","antehi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"anta","antehi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"anta","antehi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"anta","antehi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"anta","antesu",".ti.",".m.$.pl.$.loc.","0.99",],
[,"anta","antesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"anta","antesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"anta","antī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"anta","antī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"anta","antī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"anta","antī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"anta","antī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"anta","antībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"anta","antībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"anta","antīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"anta","antīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"anta","antiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"anta","antīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"anta","antīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
[,"anta","antīsu",".ti.",".f.$.pl.$.loc.","0.99",],
[,"anta","antiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"anta","antiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"anta","antiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"anta","antiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"anta","antiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"anta","antiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"anta","antiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"anta","antiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"anta","antiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"anta","anto",".ti.",".m.$.pl.$.nom.","0.99",],
[,"anta","anto",".ti.",".m.$.pl.$.voc.","0.3",],
[,"anta","anto",".ti.",".m.$.sg.$.nom.","0.99",],
[,"anta","anto",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"anta","anto",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"anta","anto",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"anta","atā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"anta","atā",".ti.",".m.$.sg.$.inst.","0.99",],
[,"anta","atā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"anta","atā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"anta","atā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"anta","atā",".ti.",".m.$.sg.$.inst.","0.99",],
[,"anta","atā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"anta","atā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"anta","ataṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"anta","ataṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"anta","ataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"anta","ataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"anta","ataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"anta","ataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"anta","atena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"anta","atena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"anta","atena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"anta","atena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"anta","atī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"anta","atī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"anta","atī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"anta","atī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"anta","atī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"anta","ati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"anta","ati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"anta","ati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"anta","ati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"anta","atībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"anta","atībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"anta","atīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"anta","atīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"anta","atiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"anta","atīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"anta","atīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
[,"anta","atīsu",".ti.",".f.$.pl.$.loc.","0.99",],
[,"anta","atiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"anta","atiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"anta","atiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"anta","atiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"anta","atiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"anta","atiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"anta","atiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"anta","atiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"anta","atiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"anta","ato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"anta","ato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"anta","ato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"anta","ato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"anta","ato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"anta","ato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"anta","ato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"anta","ato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"mant","mā",".ti.",".m.$.pl.$.nom.","0.99",],
[,"mant","mā",".ti.",".m.$.pl.$.voc.","0.3",],
[,"mant","mā",".ti.",".m.$.sg.$.nom.","0.99",],
[,"mant","ma",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mant","mā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mant","mā",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"mant","mā",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"mant","ma",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mant","mā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mant","mā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mant","mā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mant","maṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"mant","maṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"mant","maṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"mant","maṃ",".ti.",".m.$.sg.$.nom.","0.99",],
[,"mant","maṃ",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mant","maṃ",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mant","maṃ",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mant","maṃ",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mant","mānaṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"mant","mānaṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"mant","mantā",".ti.",".m.$.pl.$.nom.","0.99",],
[,"mant","mantā",".ti.",".m.$.pl.$.voc.","0.3",],
[,"mant","mantā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mant","manta",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mant","mantā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mant","manta",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"mant","mantā",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"mant","manta",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"mant","mantā",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"mant","manta",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"mant","mantā",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"mant","mantā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mant","manta",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mant","mantā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mant","mantaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"mant","mantaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"mant","mantaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"mant","mantaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"mant","mantaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"mant","mantaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"mant","mantamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mant","mantamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mant","mantamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mant","mantamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mant","mantamhi",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mant","mantamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mant","mantamhi",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mant","mantamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mant","mantānaṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"mant","mantānaṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"mant","mantānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"mant","mantānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"mant","mantānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"mant","mantānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"mant","mantani",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"mant","mantāni",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"mant","mantani",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"mant","mantāni",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"mant","mantani",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"mant","mantāni",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"mant","mantasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mant","mantasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mant","mantasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mant","mantasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mant","mantasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mant","mantasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mant","mantasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mant","mantasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mant","mantassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"mant","mantassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"mant","mantassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"mant","mantassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"mant","mantassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"mant","mantassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"mant","mantassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"mant","mantassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"mant","mante",".ti.",".m.$.pl.$.acc.","0.99",],
[,"mant","mante",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mant","mante",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"mant","mante",".ti.",".nt.$.sg.$.loc.","0.99",],
