type,end,end1,end2,grammar,endlen
.nt.,a,ā,ā,.nt.$.pl.$.voc.,1
.nt.,a,āni,ni,.nt.$.pl.$.acc.,1
.nt.,a,e,e,.nt.$.pl.$.acc.,1
.nt.,a,ānaṃ,naṃ,.nt.$.pl.$.gen.,1
.nt.,a,ānaṃ,naṃ,.nt.$.pl.$.dat.,1
.nt.,a,ehi,hi,.nt.$.pl.$.inst.,1
.nt.,a,ebhi,bhi,.nt.$.pl.$.inst.,1
.nt.,a,ehi,hi,.nt.$.pl.$.abl.,1
.nt.,a,ebhi,bhi,.nt.$.pl.$.abl.,1
.nt.,a,esu,su,.nt.$.pl.$.loc.,1
.f.,ā,ā,ā,.f.$.sg.$.nom.,1
.f.,ā,ā,ā,.f.$.sg.$.voc.,1
.f.,ā,e,e,.f.$.sg.$.voc.,1
.f.,ā,aṃ,ṃ,.f.$.sg.$.acc.,1
.f.,ā,āya,ya,.f.$.sg.$.gen.,1
.f.,ā,āya,ya,.f.$.sg.$.dat.,1
.f.,ā,āya,ya,.f.$.sg.$.inst.,1
.f.,ā,āya,ya,.f.$.sg.$.abl.,1
.f.,ā,ato,to,.f.$.sg.$.abl.,1
.f.,ā,āya,ya,.f.$.sg.$.loc.,1
.f.,ā,āyaṃ,yaṃ,.f.$.sg.$.loc.,1
.f.,ā,ā,ā,.f.$.pl.$.nom.,1
.f.,ā,āyo,yo,.f.$.pl.$.nom.,1
.f.,ā,ā,ā,.f.$.pl.$.voc.,1
.f.,ā,āyo,yo,.f.$.pl.$.voc.,1
.f.,ā,ā,ā,.f.$.pl.$.acc.,1
.f.,ā,āyo,yo,.f.$.pl.$.acc.,1
.f.,ā,ānaṃ,naṃ,.f.$.pl.$.gen.,1
.f.,ā,ānaṃ,naṃ,.f.$.pl.$.dat.,1
.f.,ā,āhi,hi,.f.$.pl.$.inst.,1
.f.,ā,ābhi,bhi,.f.$.pl.$.inst.,1
.f.,ā,āhi,hi,.f.$.pl.$.abl.,1
.f.,ā,ābhi,bhi,.f.$.pl.$.abl.,1
.f.,ā,āsu,su,.f.$.pl.$.loc.,1
.m.,i,i,i,.m.$.sg.$.nom.,1
.m.,i,i,i,.m.$.sg.$.voc.,1
.m.,i,iṃ,ṃ,.m.$.sg.$.acc.,1
.m.,i,issa,sa,.m.$.sg.$.gen.,1
.m.,i,ino,no,.m.$.sg.$.gen.,1
.m.,i,issa,sa,.m.$.sg.$.dat.,1
.m.,i,ino,no,.m.$.sg.$.dat.,1
.m.,i,inā,nā,.m.$.sg.$.inst.,1
.m.,i,inā,nā,.m.$.sg.$.abl.,1
.m.,i,ismā,smā,.m.$.sg.$.abl.,1
.m.,i,imhā,mhā,.m.$.sg.$.abl.,1
.m.,i,ismiṃ,smiṃ,.m.$.sg.$.loc.,1
.m.,i,imhi,mhi,.m.$.sg.$.loc.,1
.m.,i,ī,ī,.m.$.pl.$.nom.,1
.m.,i,ayo,yo,.m.$.pl.$.nom.,1
.m.,i,ī,ī,.m.$.pl.$.voc.,1
.m.,i,ayo,yo,.m.$.pl.$.voc.,1
.m.,i,ī,ī,.m.$.pl.$.acc.,1
.m.,i,ayo,yo,.m.$.pl.$.acc.,1
.m.,i,īnaṃ,naṃ,.m.$.pl.$.gen.,1
.m.,i,īnaṃ,naṃ,.m.$.pl.$.dat.,1
.m.,i,īhi,hi,.m.$.pl.$.inst.,1
.m.,i,ībhi,bhi,.m.$.pl.$.inst.,1
.m.,i,īhi,hi,.m.$.pl.$.abl.,1
.m.,i,ībhi,bhi,.m.$.pl.$.abl.,1
.m.,i,īsu,su,.m.$.pl.$.loc.,1
.nt.,i,i,i,.nt.$.sg.$.nom.,1
.nt.,i,i,i,.nt.$.sg.$.voc.,1
.nt.,i,iṃ,ṃ,.nt.$.sg.$.acc.,1
.nt.,i,assa,sa,.nt.$.sg.$.gen.,1
.nt.,i,ino,no,.nt.$.sg.$.gen.,1
.nt.,i,assa,sa,.nt.$.sg.$.dat.,1
.nt.,i,ino,no,.nt.$.sg.$.dat.,1
.nt.,i,inā,nā,.nt.$.sg.$.inst.,1
.nt.,i,inā,nā,.nt.$.sg.$.abl.,1
.nt.,i,ismā,smā,.nt.$.sg.$.abl.,1
.nt.,i,imhā,mhā,.nt.$.sg.$.abl.,1
.nt.,i,ismiṃ,smiṃ,.nt.$.sg.$.loc.,1
.nt.,i,imhi,mhi,.nt.$.sg.$.loc.,1
.nt.,i,īni,ni,.nt.$.pl.$.nom.,1
.nt.,i,ī,ī,.nt.$.pl.$.nom.,1
.nt.,i,īni,ni,.nt.$.pl.$.voc.,1
.nt.,i,ī,ī,.nt.$.pl.$.voc.,1
.nt.,i,īni,ni,.nt.$.pl.$.acc.,1
.nt.,i,ī,ī,.nt.$.pl.$.acc.,1
.nt.,i,īnaṃ,naṃ,.nt.$.pl.$.gen.,1
.nt.,i,īnaṃ,naṃ,.nt.$.pl.$.dat.,1
.nt.,i,īhi,hi,.nt.$.pl.$.inst.,1
.nt.,i,ībhi,bhi,.nt.$.pl.$.inst.,1
.nt.,i,īhi,hi,.nt.$.pl.$.abl.,1
.nt.,i,ībhi,bhi,.nt.$.pl.$.abl.,1
.nt.,i,īsu,su,.nt.$.pl.$.loc.,1
.f.,i,i,i,.f.$.sg.$.nom.,1
.f.,i,i,i,.f.$.sg.$.voc.,1
.f.,i,iṃ,ṃ,.f.$.sg.$.acc.,1
.f.,i,iyā,ā,.f.$.sg.$.gen.,1
.f.,i,yā,ā,.f.$.sg.$.gen.,1
.f.,i,iyā,ā,.f.$.sg.$.dat.,1
.f.,i,yā,ā,.f.$.sg.$.dat.,1
.f.,i,iyā,ā,.f.$.sg.$.inst.,1
.f.,i,yā,ā,.f.$.sg.$.inst.,1
.f.,i,iyā,ā,.f.$.sg.$.abl.,1
.f.,i,yā,ā,.f.$.sg.$.abl.,1
.f.,i,iyā,ā,.f.$.sg.$.loc.,1
.f.,i,yā,ā,.f.$.sg.$.loc.,1
.f.,i,iyaṃ,ṃ,.f.$.sg.$.loc.,1
.f.,i,yaṃ,ṃ,.f.$.sg.$.loc.,1
.f.,i,ī,ī,.f.$.pl.$.nom.,1
.f.,i,iyo,yo,.f.$.pl.$.nom.,1
.f.,i,yo,yo,.f.$.pl.$.nom.,1
.f.,i,ī,ī,.f.$.pl.$.voc.,1
.f.,i,iyo,yo,.f.$.pl.$.voc.,1
.f.,i,yo,yo,.f.$.pl.$.voc.,1
.f.,i,ī,ī,.f.$.pl.$.acc.,1
.f.,i,iyo,yo,.f.$.pl.$.acc.,1
.f.,i,yo,yo,.f.$.pl.$.acc.,1
.f.,i,īnaṃ,naṃ,.f.$.pl.$.gen.,1
.f.,i,īnaṃ,naṃ,.f.$.pl.$.dat.,1
.f.,i,īhi,hi,.f.$.pl.$.inst.,1
.f.,i,ībhi,bhi,.f.$.pl.$.inst.,1
.f.,i,īhi,hi,.f.$.pl.$.abl.,1
.f.,i,ībhi,bhi,.f.$.pl.$.abl.,1
.f.,i,īsu,su,.f.$.pl.$.loc.,1
.m.,ī,ī,ī,.m.$.sg.$.nom.,1
.m.,in,ī,ī,.m.$.sg.$.nom.,2
.m.,ī,ī,ī,.m.$.sg.$.voc.,1
.m.,ī,inī,nī,.m.$.sg.$.voc.,1
.m.,in,ī,ī,.m.$.sg.$.voc.,2
.m.,in,inī,nī,.m.$.sg.$.voc.,2
.m.,ī,iṃ,ṃ,.m.$.sg.$.acc.,1
.m.,ī,inaṃ,naṃ,.m.$.sg.$.acc.,1
.m.,in,iṃ,ṃ,.m.$.sg.$.acc.,2
.m.,in,inaṃ,naṃ,.m.$.sg.$.acc.,2
.m.,ī,issa,sa,.m.$.sg.$.gen.,1
.m.,ī,ino,no,.m.$.sg.$.gen.,1
.m.,in,issa,sa,.m.$.sg.$.gen.,2
.m.,in,ino,no,.m.$.sg.$.gen.,2
.m.,ī,issa,sa,.m.$.sg.$.dat.,1
.m.,ī,ino,no,.m.$.sg.$.dat.,1
.m.,in,issa,sa,.m.$.sg.$.dat.,2
.m.,in,ino,no,.m.$.sg.$.dat.,2
.m.,ī,inā,nā,.m.$.sg.$.inst.,1
.m.,in,inā,nā,.m.$.sg.$.inst.,2
.m.,ī,inā,nā,.m.$.sg.$.abl.,1
.m.,ī,ismā,smā,.m.$.sg.$.abl.,1
.m.,ī,imhā,mhā,.m.$.sg.$.abl.,1
.m.,in,inā,nā,.m.$.sg.$.abl.,2
.m.,in,ismā,smā,.m.$.sg.$.abl.,2
.m.,in,imhā,mhā,.m.$.sg.$.abl.,2
.m.,ī,ismiṃ,smiṃ,.m.$.sg.$.loc.,1
.m.,ī,imhi,mhi,.m.$.sg.$.loc.,1
.m.,in,ismiṃ,smiṃ,.m.$.sg.$.loc.,2
.m.,in,imhi,mhi,.m.$.sg.$.loc.,2
.m.,ī,ī,ī,.m.$.pl.$.nom.,1
.m.,ī,ino,no,.m.$.pl.$.nom.,1
.m.,in,ī,ī,.m.$.pl.$.nom.,2
.m.,in,ino,no,.m.$.pl.$.nom.,2
.m.,ī,ī,ī,.m.$.pl.$.voc.,1
.m.,ī,ino,no,.m.$.pl.$.voc.,1
.m.,in,ī,ī,.m.$.pl.$.voc.,2
.m.,in,ino,no,.m.$.pl.$.voc.,2
.m.,ī,ī,ī,.m.$.pl.$.acc.,1
.m.,ī,ino,no,.m.$.pl.$.acc.,1
.m.,in,ī,ī,.m.$.pl.$.acc.,2
.m.,in,ino,no,.m.$.pl.$.acc.,2
.m.,ī,inaṃ,naṃ,.m.$.pl.$.gen.,1
.m.,in,inaṃ,naṃ,.m.$.pl.$.gen.,2
.m.,ī,inaṃ,naṃ,.m.$.pl.$.dat.,1
.m.,in,inaṃ,naṃ,.m.$.pl.$.dat.,2
.m.,ī,īhi,hi,.m.$.pl.$.inst.,1
.m.,ī,ībhi,bhi,.m.$.pl.$.inst.,1
.m.,in,īhi,hi,.m.$.pl.$.inst.,2
.m.,in,ībhi,bhi,.m.$.pl.$.inst.,2
.m.,ī,īhi,hi,.m.$.pl.$.abl.,1
.m.,ī,ībhi,bhi,.m.$.pl.$.abl.,1
.m.,in,īhi,hi,.m.$.pl.$.abl.,2
.m.,in,ībhi,bhi,.m.$.pl.$.abl.,2
.m.,ī,īsu,su,.m.$.pl.$.loc.,1
.m.,in,īsu,su,.m.$.pl.$.loc.,2
.f.,ī,ī,i,.f.$.sg.$.nom.,1
.f.,ī,ī,ī,.f.$.sg.$.voc.,1
.f.,ī,iṃ,ṃ,.f.$.sg.$.acc.,1
.f.,ī,iyā,ā,.f.$.sg.$.gen.,1
.f.,ī,ayā,ā,.f.$.sg.$.gen.,1
.f.,ī,yā,ā,.f.$.sg.$.gen.,1
.f.,ī,iyā,ā,.f.$.sg.$.dat.,1
.f.,ī,ayā,ā,.f.$.sg.$.dat.,1
.f.,ī,yā,ā,.f.$.sg.$.dat.,1
.f.,ī,iyā,ā,.f.$.sg.$.inst.,1
.f.,ī,ayā,ā,.f.$.sg.$.inst.,1
.f.,ī,yā,ā,.f.$.sg.$.inst.,1
.f.,ī,iyā,ā,.f.$.sg.$.abl.,1
.f.,ī,ayā,ā,.f.$.sg.$.abl.,1
.f.,ī,yā,ā,.f.$.sg.$.abl.,1
.f.,ī,iyā,ā,.f.$.sg.$.loc.,1
.f.,ī,ayā,ā,.f.$.sg.$.loc.,1
.f.,ī,yā,ā,.f.$.sg.$.loc.,1
.f.,ī,iyaṃ,yaṃ,.f.$.sg.$.loc.,1
.f.,ī,ayaṃ,yaṃ,.f.$.sg.$.loc.,1
.f.,ī,yaṃ,yaṃ,.f.$.sg.$.loc.,1
.f.,ī,ī,ī,.f.$.pl.$.nom.,1
.f.,ī,iyo,yo,.f.$.pl.$.nom.,1
.f.,ī,yo,yo,.f.$.pl.$.nom.,1
.f.,ī,ī,ī,.f.$.pl.$.voc.,1
.f.,ī,iyo,yo,.f.$.pl.$.voc.,1
.f.,ī,yo,yo,.f.$.pl.$.voc.,1
.f.,ī,ī,ī,.f.$.pl.$.acc.,1
.f.,ī,iyo,yo,.f.$.pl.$.acc.,1
.f.,ī,yo,yo,.f.$.pl.$.acc.,1
.f.,ī,īnaṃ,naṃ,.f.$.pl.$.gen.,1
.f.,ī,īnaṃ,naṃ,.f.$.pl.$.dat.,1
.f.,ī,īhi,hi,.f.$.pl.$.inst.,1
.f.,ī,ībhi,bhi,.f.$.pl.$.inst.,1
.f.,ī,īhi,hi,.f.$.pl.$.abl.,1
.f.,ī,ībhi,bhi,.f.$.pl.$.abl.,1
.f.,ī,īsu,su,.f.$.pl.$.loc.,1
.m.,u,u,u,.m.$.sg.$.nom.,1
.m.,u,u,u,.m.$.sg.$.voc.,1
.m.,u,uṃ,ṃ,.m.$.sg.$.acc.,1
.m.,u,ussa,sa,.m.$.sg.$.gen.,1
.m.,u,uno,no,.m.$.sg.$.gen.,1
.m.,u,ussa,sa,.m.$.sg.$.dat.,1
.m.,u,uno,no,.m.$.sg.$.dat.,1
.m.,u,unā,na,.m.$.sg.$.inst.,1
.m.,u,unā,nā,.m.$.sg.$.abl.,1
.m.,u,usmā,smā,.m.$.sg.$.abl.,1
.m.,u,umhā,mhā,.m.$.sg.$.abl.,1
.m.,u,usmiṃ,smiṃ,.m.$.sg.$.loc.,1
.m.,u,umhi,mhi,.m.$.sg.$.loc.,1
.m.,u,ū,ū,.m.$.pl.$.nom.,1
.m.,u,avo,o,.m.$.pl.$.nom.,1
.m.,u,ū,ū,.m.$.pl.$.voc.,1
.m.,u,avo,o,.m.$.pl.$.voc.,1
.m.,u,ave,e,.m.$.pl.$.voc.,1
.m.,u,ū,ū,.m.$.pl.$.acc.,1
.m.,u,avo,o,.m.$.pl.$.acc.,1
.m.,u,ūnaṃ,naṃ,.m.$.pl.$.gen.,1
.m.,u,ūnaṃ,naṃ,.m.$.pl.$.dat.,1
.m.,u,ūhi,hi,.m.$.pl.$.inst.,1
.m.,u,ūbhi,bhi,.m.$.pl.$.inst.,1
.m.,u,ūhi,hi,.m.$.pl.$.abl.,1
.m.,u,ūbhi,bhi,.m.$.pl.$.abl.,1
.m.,u,ūsu,su,.m.$.pl.$.loc.,1
.nt.,u,u,u,.nt.$.sg.$.nom.,1
.nt.,u,u,u,.nt.$.sg.$.voc.,1
.nt.,u,uṃ,ṃ,.nt.$.sg.$.acc.,1
.nt.,u,ussa,sa,.nt.$.sg.$.gen.,1
.nt.,u,uno,no,.nt.$.sg.$.gen.,1
.nt.,u,ussa,sa,.nt.$.sg.$.dat.,1
.nt.,u,uno,no,.nt.$.sg.$.dat.,1
.nt.,u,unā,na,.nt.$.sg.$.inst.,1
.nt.,u,unā,nā,.nt.$.sg.$.abl.,1
.nt.,u,usmā,smā,.nt.$.sg.$.abl.,1
.nt.,u,umhā,mhā,.nt.$.sg.$.abl.,1
.nt.,u,usmiṃ,smiṃ,.nt.$.sg.$.loc.,1
.nt.,u,umhi,mhi,.nt.$.sg.$.loc.,1
.nt.,u,ū,ū,.nt.$.pl.$.nom.,1
.nt.,u,ūni,ni,.nt.$.pl.$.nom.,1
.nt.,u,ū,ū,.nt.$.pl.$.voc.,1
.nt.,u,ūni,ni,.nt.$.pl.$.voc.,1
.nt.,u,ū,ū,.nt.$.pl.$.acc.,1
.nt.,u,ūni,ni,.nt.$.pl.$.acc.,1
.nt.,u,ūnaṃ,naṃ,.nt.$.pl.$.gen.,1
.nt.,u,ūnaṃ,naṃ,.nt.$.pl.$.dat.,1
.nt.,u,ūhi,hi,.nt.$.pl.$.inst.,1
.nt.,u,ūbhi,bhi,.nt.$.pl.$.inst.,1
.nt.,u,ūhi,hi,.nt.$.pl.$.abl.,1
.nt.,u,ūbhi,bhi,.nt.$.pl.$.abl.,1
.nt.,u,ūsu,su,.nt.$.pl.$.loc.,1
.f.,u,u,u,.f.$.sg.$.nom.,1
.f.,u,u,u,.f.$.sg.$.voc.,1
.f.,u,uṃ,ṃ,.f.$.sg.$.acc.,1
.f.,u,uyā,yā,.f.$.sg.$.gen.,1
.f.,u,uyā,yā,.f.$.sg.$.dat.,1
.f.,u,uyā,yā,.f.$.sg.$.inst.,1
.f.,u,uyā,yā,.f.$.sg.$.abl.,1
.f.,u,uto,to,.f.$.sg.$.abl.,1
.f.,u,uyā,yā,.f.$.sg.$.loc.,1
.f.,u,uyaṃ,yaṃ,.f.$.sg.$.loc.,1
.f.,u,ū,ū,.f.$.pl.$.nom.,1
.f.,u,uyo,yo,.f.$.pl.$.nom.,1
.f.,u,ūvo,o,.f.$.pl.$.nom.,1
.f.,u,ū,ū,.f.$.pl.$.voc.,1
.f.,u,uyo,yo,.f.$.pl.$.voc.,1
.f.,u,ū,ū,.f.$.pl.$.acc.,1
.f.,u,uyo,yo,.f.$.pl.$.acc.,1
.f.,u,ūnaṃ,naṃ,.f.$.pl.$.gen.,1
.f.,u,ūnaṃ,naṃ,.f.$.pl.$.dat.,1
.f.,u,ūhi,hi,.f.$.pl.$.inst.,1
.f.,u,ūbhi,bhi,.f.$.pl.$.inst.,1
.f.,u,ūhi,hi,.f.$.pl.$.abl.,1
.f.,u,ūbhi,bhi,.f.$.pl.$.abl.,1
.f.,u,ūsu,su,.f.$.pl.$.loc.,1
.m.,ū,ū,ū,.m.$.sg.$.nom.,1
.m.,ū,ū,ū,.m.$.sg.$.voc.,1
.m.,ū,uṃ,ṃ,.m.$.sg.$.acc.,1
.m.,ū,ussa,sa,.m.$.sg.$.gen.,1
.m.,ū,uno,no,.m.$.sg.$.gen.,1
.m.,ū,ussa,sa,.m.$.sg.$.dat.,1
.m.,ū,uno,no,.m.$.sg.$.dat.,1
.m.,ū,unā,na,.m.$.sg.$.inst.,1
.m.,ū,unā,nā,.m.$.sg.$.abl.,1
.m.,ū,usmā,smā,.m.$.sg.$.abl.,1
.m.,ū,umhā,mhā,.m.$.sg.$.abl.,1
.m.,ū,usmiṃ,smiṃ,.m.$.sg.$.loc.,1
.m.,ū,umhi,mhi,.m.$.sg.$.loc.,1
.m.,ū,ū,ū,.m.$.pl.$.nom.,1
.m.,ū,avo,o,.m.$.pl.$.nom.,1
.m.,ū,ū,ū,.m.$.pl.$.voc.,1
.m.,ū,avo,o,.m.$.pl.$.voc.,1
.m.,ū,ave,e,.m.$.pl.$.voc.,1
.m.,ū,ū,ū,.m.$.pl.$.acc.,1
.m.,ū,avo,o,.m.$.pl.$.acc.,1
.m.,ū,ūnaṃ,naṃ,.m.$.pl.$.gen.,1
.m.,ū,ūnaṃ,naṃ,.m.$.pl.$.dat.,1
.m.,ū,ūhi,hi,.m.$.pl.$.inst.,1
.m.,ū,ūbhi,bhi,.m.$.pl.$.inst.,1
.m.,ū,ūhi,hi,.m.$.pl.$.abl.,1
.m.,ū,ūbhi,bhi,.m.$.pl.$.abl.,1
.m.,ū,ūsu,su,.m.$.pl.$.loc.,1
.f.,ū,ū,ū,.f.$.sg.$.nom.,1
.f.,ū,ū,ū,.f.$.sg.$.voc.,1
.f.,ū,uṃ,ṃ,.f.$.sg.$.acc.,1
.f.,ū,uyā,yā,.f.$.sg.$.gen.,1
.f.,ū,uyā,yā,.f.$.sg.$.dat.,1
.f.,ū,uyā,yā,.f.$.sg.$.inst.,1
.f.,ū,uyā,yā,.f.$.sg.$.abl.,1
.f.,ū,uto,to,.f.$.sg.$.abl.,1
.f.,ū,uyā,yā,.f.$.sg.$.loc.,1
.f.,ū,uyaṃ,yaṃ,.f.$.sg.$.loc.,1
.f.,ū,ū,ū,.f.$.pl.$.nom.,1
.f.,ū,uyo,yo,.f.$.pl.$.nom.,1
.f.,ū,ū,ū,.f.$.pl.$.voc.,1
.f.,ū,uyo,yo,.f.$.pl.$.voc.,1
.f.,ū,ū,ū,.f.$.pl.$.acc.,1
.f.,ū,uyo,yo,.f.$.pl.$.acc.,1
.f.,ū,ūnaṃ,naṃ,.f.$.pl.$.gen.,1
.f.,ū,ūnaṃ,naṃ,.f.$.pl.$.dat.,1
.f.,ū,ūhi,hi,.f.$.pl.$.inst.,1
.f.,ū,ūbhi,bhi,.f.$.pl.$.inst.,1
.f.,ū,ūhi,hi,.f.$.pl.$.abl.,1
.f.,ū,ūbhi,bhi,.f.$.pl.$.abl.,1
.f.,ū,ūsu,su,.f.$.pl.$.loc.,1
.m.,as,o,o,.m.$.sg.$.nom.,2
.m.,as,aṃ,ṃ,.m.$.sg.$.nom.,2
.m.,o,o,o,.m.$.sg.$.nom.,1
.m.,o,aṃ,ṃ,.m.$.sg.$.nom.,1
.m.,as,o,o,.m.$.sg.$.voc.,2
.m.,as,aṃ,ṃ,.m.$.sg.$.voc.,2
.m.,as,ā,ā,.m.$.sg.$.voc.,2
.m.,as,a,a,.m.$.sg.$.voc.,2
.m.,o,o,o,.m.$.sg.$.voc.,1
.m.,o,aṃ,ṃ,.m.$.sg.$.voc.,1
.m.,o,ā,ā,.m.$.sg.$.voc.,1
.m.,o,a,a,.m.$.sg.$.voc.,1
.m.,as,o,o,.m.$.sg.$.acc.,2
.m.,as,aṃ,ṃ,.m.$.sg.$.acc.,2
.m.,o,o,o,.m.$.sg.$.acc.,1
.m.,o,aṃ,ṃ,.m.$.sg.$.acc.,1
.m.,as,aso,so,.m.$.sg.$.gen.,2
.m.,as,assa,sa,.m.$.sg.$.gen.,2
.m.,o,aso,so,.m.$.sg.$.gen.,1
.m.,o,assa,sa,.m.$.sg.$.gen.,1
.m.,as,aso,so,.m.$.sg.$.dat.,2
.m.,as,assa,sa,.m.$.sg.$.dat.,2
.m.,o,aso,so,.m.$.sg.$.dat.,1
.m.,o,assa,sa,.m.$.sg.$.dat.,1
.m.,as,asā,sā,.m.$.sg.$.inst.,2
.m.,as,ena,na,.m.$.sg.$.inst.,2
.m.,o,asā,sā,.m.$.sg.$.inst.,1
.m.,o,ena,na,.m.$.sg.$.inst.,1
.m.,as,asā,sā,.m.$.sg.$.abl.,2
.m.,as,asmā,smā,.m.$.sg.$.abl.,2
.m.,as,amhā,mhā,.m.$.sg.$.abl.,2
.m.,as,ā,ā,.m.$.sg.$.abl.,2
.m.,o,asā,sā,.m.$.sg.$.abl.,1
.m.,o,asmā,smā,.m.$.sg.$.abl.,1
.m.,o,amhā,mhā,.m.$.sg.$.abl.,1
.m.,o,ā,ā,.m.$.sg.$.abl.,1
.m.,as,asi,i,.m.$.sg.$.loc.,2
.m.,as,e,i,.m.$.sg.$.loc.,2
.m.,as,asmiṃ,smiṃ,.m.$.sg.$.loc.,2
.m.,as,amhi,mhi,.m.$.sg.$.loc.,2
.m.,o,asi,i,.m.$.sg.$.loc.,1
.m.,o,e,i,.m.$.sg.$.loc.,1
.m.,o,asmiṃ,smiṃ,.m.$.sg.$.loc.,1
.m.,o,amhi,mhi,.m.$.sg.$.loc.,1
.m.,as,ā,ā,.m.$.pl.$.nom.,2
.m.,o,ā,ā,.m.$.pl.$.nom.,1
.m.,as,ā,ā,.m.$.pl.$.voc.,2
.m.,o,ā,ā,.m.$.pl.$.voc.,1
.m.,as,e,e,.m.$.pl.$.acc.,2
.m.,o,e,e,.m.$.pl.$.acc.,1
.m.,as,ānaṃ,naṃ,.m.$.pl.$.gen.,2
.m.,o,ānaṃ,naṃ,.m.$.pl.$.gen.,1
.m.,as,ānaṃ,naṃ,.m.$.pl.$.dat.,2
.m.,o,ānaṃ,naṃ,.m.$.pl.$.dat.,1
.m.,as,ehi,hi,.m.$.pl.$.inst.,2
.m.,as,ebhi,bhi,.m.$.pl.$.inst.,2
.m.,o,ehi,hi,.m.$.pl.$.inst.,1
.m.,o,ebhi,bhi,.m.$.pl.$.inst.,1
.m.,as,ehi,hi,.m.$.pl.$.abl.,2
.m.,as,ebhi,bhi,.m.$.pl.$.abl.,2
.m.,o,ehi,hi,.m.$.pl.$.abl.,1
.m.,o,ebhi,bhi,.m.$.pl.$.abl.,1
.m.,as,esu,su,.m.$.pl.$.loc.,2
.m.,o,esu,su,.m.$.pl.$.loc.,1
.nt.,as,o,o,.nt.$.sg.$.nom.,2
.nt.,as,aṃ,ṃ,.nt.$.sg.$.nom.,2
.nt.,o,o,o,.nt.$.sg.$.nom.,1
.nt.,o,aṃ,ṃ,.nt.$.sg.$.nom.,1
.nt.,as,o,o,.nt.$.sg.$.voc.,2
.nt.,as,aṃ,ṃ,.nt.$.sg.$.voc.,2
.nt.,as,ā,ā,.nt.$.sg.$.voc.,2
.nt.,as,a,a,.nt.$.sg.$.voc.,2
.nt.,o,o,o,.nt.$.sg.$.voc.,1
.nt.,o,aṃ,ṃ,.nt.$.sg.$.voc.,1
.nt.,o,ā,ā,.nt.$.sg.$.voc.,1
.nt.,o,a,a,.nt.$.sg.$.voc.,1
.nt.,as,o,o,.nt.$.sg.$.acc.,2
.nt.,as,aṃ,ṃ,.nt.$.sg.$.acc.,2
.nt.,o,o,o,.nt.$.sg.$.acc.,1
.nt.,o,aṃ,ṃ,.nt.$.sg.$.acc.,1
.nt.,as,aso,so,.nt.$.sg.$.gen.,2
.nt.,as,assa,sa,.nt.$.sg.$.gen.,2
.nt.,o,aso,so,.nt.$.sg.$.gen.,1
.nt.,o,assa,sa,.nt.$.sg.$.gen.,1
.nt.,as,aso,so,.nt.$.sg.$.dat.,2
.nt.,as,assa,sa,.nt.$.sg.$.dat.,2
