book,paragraph,level,title,tag
24,2,1,anudīpanīpāṭha,:añña::abhidhamma::abhidhammatthasaṅgaha::anudīpanīpāṭha::leḍī sayādo:
24,3,2,1. cittasaṅgahaanudīpanā,:añña::abhidhamma::abhidhammatthasaṅgaha::anudīpanīpāṭha::leḍī sayādo:
24,145,2,2. cetasikasaṅgahaanudīpanā,:añña::abhidhamma::abhidhammatthasaṅgaha::anudīpanīpāṭha::leḍī sayādo:
24,206,2,3. pakiṇṇakasaṅgahaanudīpanā,:añña::abhidhamma::abhidhammatthasaṅgaha::anudīpanīpāṭha::leḍī sayādo:
24,215,2,4. vīthisaṅgahaanudīpanā,:añña::abhidhamma::abhidhammatthasaṅgaha::anudīpanīpāṭha::leḍī sayādo:
24,239,2,5. vīthimuttasaṅgahaanudīpanā,:añña::abhidhamma::abhidhammatthasaṅgaha::anudīpanīpāṭha::leḍī sayādo:
24,284,2,6. rūpasaṅgahaanudīpanā,:añña::abhidhamma::abhidhammatthasaṅgaha::anudīpanīpāṭha::leḍī sayādo:
24,321,2,7. samuccayasaṅgahaanudīpanā,:añña::abhidhamma::abhidhammatthasaṅgaha::anudīpanīpāṭha::leḍī sayādo:
24,355,2,8. paccayasaṅgahaanudīpanā,:añña::abhidhamma::abhidhammatthasaṅgaha::anudīpanīpāṭha::leḍī sayādo:
24,388,2,9. kammaṭṭhānasaṅgahaanudīpanā,:añña::abhidhamma::abhidhammatthasaṅgaha::anudīpanīpāṭha::leḍī sayādo:
25,2,1,paṭṭhānuddesa dīpanīpāṭha,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,3,2,1. hetupaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,14,2,2. ārammaṇapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,22,2,3. adhipatipaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
