Date : 2020-11-22 22:27:11
Directory : c:\mysoft\Ampps\www\mint\app
Total : 1888 files,  1117371 codes, 188215 comments, 46391 blanks, all 1351977 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| guide                                                                                                                                      |          5 |        183 |          5 |         10 |        198 |
| head                                                                                                                                       |          1 |          8 |          0 |          1 |          9 |
| hostsetting                                                                                                                                |          1 |         45 |          0 |          3 |         48 |
| install                                                                                                                                    |         63 |      6,400 |        606 |      1,358 |      8,364 |
| install\palicanon_db                                                                                                                       |          8 |      1,394 |        287 |        537 |      2,218 |
| install\refdict_db                                                                                                                         |          2 |         61 |         18 |         27 |        106 |
| install\userdb                                                                                                                             |         12 |        396 |         86 |        102 |        584 |
| lang                                                                                                                                       |          7 |      1,474 |          0 |          6 |      1,480 |
| like                                                                                                                                       |          6 |         28 |          0 |          5 |         33 |
| media                                                                                                                                      |          4 |        175 |          6 |         19 |        200 |
| openpali                                                                                                                                   |          1 |          2 |          0 |          1 |          3 |
| pali_sent                                                                                                                                  |          4 |        326 |         30 |         48 |        404 |
| palicanon                                                                                                                                  |          3 |        290 |          3 |         20 |        313 |
| paliscript                                                                                                                                 |          1 |        422 |         11 |         69 |        502 |
| pcdl                                                                                                                                       |         70 |     16,998 |        729 |      1,602 |     19,329 |
| pcdl\css                                                                                                                                   |         15 |      4,175 |        244 |        589 |      5,008 |
| pcdl\img                                                                                                                                   |          5 |         10 |          0 |          0 |         10 |
| pcdl\js                                                                                                                                    |          6 |      2,281 |        275 |        325 |      2,881 |
| pcdl\language                                                                                                                              |         15 |      4,735 |          0 |        146 |      4,881 |
| pcdl\pali_book                                                                                                                             |          3 |        657 |          0 |          3 |        660 |
| public                                                                                                                                     |        815 |    598,297 |    169,863 |     24,347 |    792,507 |
| public\book_index                                                                                                                          |          6 |      1,314 |          0 |          4 |      1,318 |
| public\book_index\a                                                                                                                        |          6 |      1,314 |          0 |          4 |      1,318 |
| public\book_name                                                                                                                           |          4 |        876 |          0 |          0 |        876 |
| public\book_tag                                                                                                                            |          2 |     19,335 |          0 |          2 |     19,337 |
| public\charcode                                                                                                                            |         10 |     47,272 |          3 |        127 |     47,402 |
| public\css                                                                                                                                 |        108 |      2,143 |        107 |        107 |      2,357 |
| public\css\themes                                                                                                                          |        107 |      2,127 |        107 |        107 |      2,341 |
| public\css\themes\default                                                                                                                  |        107 |      2,127 |        107 |        107 |      2,341 |
| public\css\themes\default\images                                                                                                           |        100 |      2,120 |        100 |        100 |      2,320 |
| public\css\themes\default\images\icons-svg                                                                                                 |        100 |      2,120 |        100 |        100 |      2,320 |
| public\images                                                                                                                              |         41 |        125 |          0 |          4 |        129 |
| public\images\svg                                                                                                                          |         41 |        125 |          0 |          4 |        129 |
| public\js                                                                                                                                  |        627 |    296,605 |    169,647 |     24,009 |    490,261 |
| public\js\highcharts                                                                                                                       |        520 |    190,616 |    154,494 |      9,154 |    354,264 |
| public\js\highcharts\css                                                                                                                   |         12 |      4,678 |        302 |      1,007 |      5,987 |
| public\js\highcharts\css\annotations                                                                                                       |          2 |        404 |          4 |         67 |        475 |
| public\js\highcharts\css\stocktools                                                                                                        |          2 |        412 |         51 |         68 |        531 |
| public\js\highcharts\css\themes                                                                                                            |          6 |      2,396 |        162 |        630 |      3,188 |
| public\js\highcharts\es-modules                                                                                                            |        340 |     81,612 |     70,519 |      3,073 |    155,204 |
| public\js\highcharts\es-modules\annotations                                                                                                |         22 |      3,951 |      3,005 |         22 |      6,978 |
| public\js\highcharts\es-modules\annotations\controllable                                                                                   |          7 |        768 |        478 |          7 |      1,253 |
| public\js\highcharts\es-modules\annotations\types                                                                                          |          9 |      1,345 |        647 |          9 |      2,001 |
| public\js\highcharts\es-modules\masters                                                                                                    |         80 |        242 |        962 |         87 |      1,291 |
| public\js\highcharts\es-modules\masters\modules                                                                                            |         65 |        163 |        828 |         72 |      1,063 |
| public\js\highcharts\es-modules\masters\themes                                                                                             |         12 |         24 |        108 |         12 |        144 |
| public\js\highcharts\es-modules\mixins                                                                                                     |         17 |      1,243 |        982 |         17 |      2,242 |
| public\js\highcharts\es-modules\modules                                                                                                    |        108 |     26,943 |     22,455 |        107 |     49,505 |
| public\js\highcharts\es-modules\modules\accessibility                                                                                      |         30 |      4,534 |      3,351 |         30 |      7,915 |
| public\js\highcharts\es-modules\modules\accessibility\components                                                                           |         14 |      2,679 |      1,417 |         14 |      4,110 |
| public\js\highcharts\es-modules\modules\accessibility\components\InfoRegionsComponent                                                      |          2 |        384 |        195 |          2 |        581 |
| public\js\highcharts\es-modules\modules\accessibility\components\SeriesComponent                                                           |          5 |        952 |        546 |          5 |      1,503 |
| public\js\highcharts\es-modules\modules\accessibility\options                                                                              |          3 |        347 |      1,017 |          3 |      1,367 |
| public\js\highcharts\es-modules\modules\accessibility\utils                                                                                |          5 |        290 |        219 |          5 |        514 |
| public\js\highcharts\es-modules\modules\boost                                                                                              |         12 |      2,167 |      1,092 |         12 |      3,271 |
| public\js\highcharts\es-modules\modules\networkgraph                                                                                       |          5 |      1,218 |      1,271 |          5 |      2,494 |
| public\js\highcharts\es-modules\modules\sonification                                                                                       |         10 |      1,404 |      1,598 |         10 |      3,012 |
| public\js\highcharts\es-modules\parts                                                                                                      |         46 |     21,643 |     28,512 |         47 |     50,202 |
| public\js\highcharts\es-modules\parts-3d                                                                                                   |         12 |      3,186 |      1,321 |         12 |      4,519 |
| public\js\highcharts\es-modules\parts-gantt                                                                                                |         10 |      2,297 |      2,125 |         10 |      4,432 |
| public\js\highcharts\es-modules\parts-map                                                                                                  |         13 |      2,221 |      3,063 |         13 |      5,297 |
| public\js\highcharts\es-modules\parts-more                                                                                                 |         16 |      4,258 |      4,045 |         16 |      8,319 |
| public\js\highcharts\es-modules\themes                                                                                                     |         12 |      1,556 |        171 |         12 |      1,739 |
| public\js\highcharts\lib                                                                                                                   |          8 |     19,537 |      5,732 |      4,592 |     29,861 |
| public\js\highcharts\modules                                                                                                               |        130 |     56,661 |     46,741 |        369 |    103,771 |
| public\js\highcharts\themes                                                                                                                |         24 |      1,885 |        351 |         36 |      2,272 |
| public\js\jquery-ui-1.12.1                                                                                                                 |         11 |     25,534 |      4,076 |      5,327 |     34,937 |
| public\js\jquery-ui-1.12.1\external                                                                                                        |          1 |      7,078 |      1,857 |      2,074 |     11,009 |
| public\js\jquery-ui-1.12.1\external\jquery                                                                                                 |          1 |      7,078 |      1,857 |      2,074 |     11,009 |
| public\js\jquery-ui-themes-1.12.1                                                                                                          |         81 |     43,047 |      2,174 |      1,515 |     46,736 |
| public\js\jquery-ui-themes-1.12.1\themes                                                                                                   |         75 |     40,600 |      2,050 |      1,425 |     44,075 |
| public\js\jquery-ui-themes-1.12.1\themes\base                                                                                              |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\black-tie                                                                                         |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\blitzer                                                                                           |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\cupertino                                                                                         |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\dark-hive                                                                                         |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\dot-luv                                                                                           |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\eggplant                                                                                          |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\excite-bike                                                                                       |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\flick                                                                                             |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\hot-sneaks                                                                                        |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\humanity                                                                                          |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\le-frog                                                                                           |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\mint-choc                                                                                         |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\overcast                                                                                          |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\pepper-grinder                                                                                    |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\redmond                                                                                           |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\smoothness                                                                                        |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\south-street                                                                                      |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\start                                                                                             |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\sunny                                                                                             |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\swanky-purse                                                                                      |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\trontastic                                                                                        |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\ui-darkness                                                                                       |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\ui-lightness                                                                                      |          3 |      1,624 |         82 |         57 |      1,763 |
| public\js\jquery-ui-themes-1.12.1\themes\vader                                                                                             |          3 |      1,624 |         82 |         57 |      1,763 |
| public\lang                                                                                                                                |          6 |     12,096 |          0 |          6 |     12,102 |
| public\php                                                                                                                                 |          1 |          4 |          0 |          0 |          4 |
| public\script                                                                                                                              |          1 |      1,116 |          0 |          2 |      1,118 |
| reader                                                                                                                                     |          4 |        694 |          5 |         66 |        765 |
| search                                                                                                                                     |         38 |     12,584 |        509 |        665 |     13,758 |
| search\css                                                                                                                                 |          1 |         18 |          0 |          1 |         19 |
| search\js                                                                                                                                  |          1 |        258 |          3 |         32 |        293 |
| search\language                                                                                                                            |         16 |      8,225 |        280 |        168 |      8,673 |
| statistics                                                                                                                                 |         12 |      1,934 |          6 |         46 |      1,986 |
| statistics\language                                                                                                                        |          4 |        105 |          0 |          4 |        109 |
| studio                                                                                                                                     |        509 |    413,029 |      9,607 |      9,463 |    432,099 |
| studio\charcode                                                                                                                            |         10 |     47,270 |          3 |        131 |     47,404 |
| studio\css                                                                                                                                 |         12 |      5,945 |        482 |        678 |      7,105 |
| studio\dictadmin                                                                                                                           |         10 |     25,115 |      2,435 |      2,016 |     29,566 |
| studio\dictadmin\3rd                                                                                                                       |          2 |      5,023 |        487 |        403 |      5,913 |
| studio\dictadmin\palicanon                                                                                                                 |          2 |      5,023 |        487 |        403 |      5,913 |
| studio\dictadmin\system                                                                                                                    |          2 |      5,023 |        487 |        403 |      5,913 |
| studio\dictadmin\term                                                                                                                      |          2 |      5,023 |        487 |        403 |      5,913 |
| studio\dictadmin\user                                                                                                                      |          2 |      5,023 |        487 |        404 |      5,914 |
| studio\ds                                                                                                                                  |          4 |         25 |          0 |          6 |         31 |
| studio\js                                                                                                                                  |         21 |     23,855 |      1,744 |      1,790 |     27,389 |
| studio\language                                                                                                                            |         20 |     10,120 |        566 |        208 |     10,894 |
| studio\module                                                                                                                              |        129 |      7,587 |         91 |        331 |      8,009 |
| studio\module\editor                                                                                                                       |         10 |        320 |          0 |         30 |        350 |
| studio\module\editor\language                                                                                                              |         10 |        320 |          0 |         30 |        350 |
| studio\module\editor_bookmark                                                                                                              |         12 |         62 |         13 |         14 |         89 |
| studio\module\editor_bookmark\language                                                                                                     |          9 |         60 |          0 |          8 |         68 |
| studio\module\editor_dictionary                                                                                                            |         12 |        349 |         16 |         47 |        412 |
| studio\module\editor_dictionary\language                                                                                                   |          9 |        160 |          0 |         19 |        179 |
| studio\module\editor_edit                                                                                                                  |         12 |        181 |         14 |         19 |        214 |
| studio\module\editor_edit\language                                                                                                         |          9 |        110 |          0 |          9 |        119 |
| studio\module\editor_layout                                                                                                                |         13 |         71 |          3 |         11 |         85 |
| studio\module\editor_layout\language                                                                                                       |          9 |         70 |          0 |          9 |         79 |
| studio\module\editor_palicannon                                                                                                            |         15 |      3,589 |         31 |         84 |      3,704 |
| studio\module\editor_palicannon\language                                                                                                   |         10 |      1,155 |          0 |          9 |      1,164 |
| studio\module\editor_plugin                                                                                                                |         12 |         60 |          0 |         12 |         72 |
| studio\module\editor_plugin\language                                                                                                       |          9 |         60 |          0 |          9 |         69 |
| studio\module\editor_project                                                                                                               |         13 |        225 |          0 |         23 |        248 |
| studio\module\editor_project\language                                                                                                      |         10 |        225 |          0 |         20 |        245 |
| studio\module\editor_toc                                                                                                                   |         12 |        102 |         13 |         15 |        130 |
| studio\module\editor_toc\language                                                                                                          |          9 |        100 |          0 |          9 |        109 |
| studio\module\editor_wizard                                                                                                                |          3 |        168 |          0 |         23 |        191 |
| studio\module\palicannon                                                                                                                   |         14 |      2,171 |          1 |         32 |      2,204 |
| studio\module\palicannon\language                                                                                                          |         10 |      1,362 |          0 |          9 |      1,371 |
| studio\module\tools                                                                                                                        |          1 |        289 |          0 |         21 |        310 |
| studio\note-                                                                                                                               |          2 |        132 |         30 |         12 |        174 |
| studio\offline                                                                                                                             |          6 |      2,677 |        119 |        179 |      2,975 |
| studio\offline\css                                                                                                                         |          2 |        431 |         23 |         48 |        502 |
| studio\offline\js                                                                                                                          |          3 |        892 |         88 |        120 |      1,100 |
| studio\pc_admin                                                                                                                            |         10 |     25,100 |      2,435 |      2,015 |     29,550 |
| studio\pc_admin\heading                                                                                                                    |          2 |      5,020 |        487 |        403 |      5,910 |
| studio\pc_admin\note                                                                                                                       |          2 |      5,020 |        487 |        403 |      5,910 |
| studio\pc_admin\templet                                                                                                                    |          2 |      5,020 |        487 |        403 |      5,910 |
| studio\pc_admin\translate                                                                                                                  |          2 |      5,020 |        487 |        403 |      5,910 |
| studio\pc_admin\wbw                                                                                                                        |          2 |      5,020 |        487 |        403 |      5,910 |
| studio\plugin                                                                                                                              |        192 |      2,987 |        311 |        304 |      3,602 |
| studio\plugin\system_bookmark                                                                                                              |         12 |        133 |         13 |         11 |        157 |
| studio\plugin\system_bookmark\language                                                                                                     |          7 |         48 |          0 |          6 |         54 |
| studio\plugin\system_click                                                                                                                 |         12 |        114 |         13 |         10 |        137 |
| studio\plugin\system_click\language                                                                                                        |          7 |         48 |          0 |          6 |         54 |
| studio\plugin\system_dict                                                                                                                  |         12 |        110 |         16 |         14 |        140 |
| studio\plugin\system_dict\language                                                                                                         |          7 |         48 |          0 |          6 |         54 |
| studio\plugin\system_export                                                                                                                |         12 |         94 |         38 |          9 |        141 |
| studio\plugin\system_export\language                                                                                                       |          7 |         48 |          0 |          6 |         54 |
| studio\plugin\system_find                                                                                                                  |         11 |         96 |         13 |         15 |        124 |
| studio\plugin\system_find\language                                                                                                         |          7 |         48 |          0 |          6 |         54 |
| studio\plugin\system_format                                                                                                                |         12 |         78 |         13 |         10 |        101 |
| studio\plugin\system_format\language                                                                                                       |          7 |         48 |          0 |          6 |         54 |
| studio\plugin\system_layout                                                                                                                |         12 |        392 |         25 |         45 |        462 |
| studio\plugin\system_layout\language                                                                                                       |          7 |         48 |          0 |          6 |         54 |
| studio\plugin\system_message                                                                                                               |         12 |         89 |         14 |          9 |        112 |
| studio\plugin\system_message\language                                                                                                      |          7 |         48 |          0 |          6 |         54 |
| studio\plugin\system_plugin                                                                                                                |         12 |        242 |         14 |         30 |        286 |
| studio\plugin\system_plugin\language                                                                                                       |          7 |         48 |          0 |          6 |         54 |
| studio\plugin\system_print                                                                                                                 |         12 |         88 |         13 |         10 |        111 |
| studio\plugin\system_print\language                                                                                                        |          7 |         48 |          0 |          6 |         54 |
| studio\plugin\system_project                                                                                                               |         12 |        993 |         56 |         87 |      1,136 |
| studio\plugin\system_project\language                                                                                                      |          7 |         48 |          0 |          6 |         54 |
| studio\plugin\system_script                                                                                                                |         12 |         95 |         13 |         10 |        118 |
| studio\plugin\system_script\language                                                                                                       |          7 |         48 |          0 |          6 |         54 |
| studio\plugin\system_term                                                                                                                  |         12 |         67 |         14 |         10 |         91 |
| studio\plugin\system_term\language                                                                                                         |          7 |         48 |          0 |          6 |         54 |
| studio\plugin\system_toc                                                                                                                   |         12 |         74 |         26 |         10 |        110 |
